"CMS Certification Number (CCN)","Provider Name","Provider Address","City/Town","State","ZIP Code","Telephone Number","Provider SSA County Code","County/Parish","Urban","Ownership Type","Number of Certified Beds","Average Number of Residents per Day","Average Number of Residents per Day Footnote","Provider Type","Provider Resides in Hospital","Legal Business Name","Date First Approved to Provide Medicare and Medicaid Services","Chain Name","Chain ID","Number of Facilities in Chain","Chain Average Overall 5-star Rating","Chain Average Health Inspection Rating","Chain Average Staffing Rating","Chain Average QM Rating","Continuing Care Retirement Community","Special Focus Status","Abuse Icon","Most Recent Health Inspection More Than 2 Years Ago","Provider Changed Ownership in Last 12 Months","With a Resident and Family Council","Automatic Sprinkler Systems in All Required Areas","Overall Rating","Overall Rating Footnote","Health Inspection Rating","Health Inspection Rating Footnote","QM Rating","QM Rating Footnote","Long-Stay QM Rating","Long-Stay QM Rating Footnote","Short-Stay QM Rating","Short-Stay QM Rating Footnote","Staffing Rating","Staffing Rating Footnote","Reported Staffing Footnote","Physical Therapist Staffing Footnote","Reported Nurse Aide Staffing Hours per Resident per Day","Reported LPN Staffing Hours per Resident per Day","Reported RN Staffing Hours per Resident per Day","Reported Licensed Staffing Hours per Resident per Day","Reported Total Nurse Staffing Hours per Resident per Day","Total number of nurse staff hours per resident per day on the weekend","Registered Nurse hours per resident per day on the weekend","Reported Physical Therapist Staffing Hours per Resident Per Day","Total nursing staff turnover","Total nursing staff turnover footnote","Registered Nurse turnover","Registered Nurse turnover footnote","Number of administrators who have left the nursing home","Administrator turnover footnote","Nursing Case-Mix Index","Nursing Case-Mix Index Ratio","Case-Mix Nurse Aide Staffing Hours per Resident per Day","Case-Mix LPN Staffing Hours per Resident per Day","Case-Mix RN Staffing Hours per Resident per Day","Case-Mix Total Nurse Staffing Hours per Resident per Day","Case-Mix Weekend Total Nurse Staffing Hours per Resident per Day","Adjusted Nurse Aide Staffing Hours per Resident per Day","Adjusted LPN Staffing Hours per Resident per Day","Adjusted RN Staffing Hours per Resident per Day","Adjusted Total Nurse Staffing Hours per Resident per Day","Adjusted Weekend Total Nurse Staffing Hours per Resident per Day","Rating Cycle 1 Standard Survey Health Date","Rating Cycle 1 Total Number of Health Deficiencies","Rating Cycle 1 Number of Standard Health Deficiencies","Rating Cycle 1 Number of Complaint Health Deficiencies","Rating Cycle 1 Health Deficiency Score","Rating Cycle 1 Number of Health Revisits","Rating Cycle 1 Health Revisit Score","Rating Cycle 1 Total Health Score","Rating Cycle 2 Standard Health Survey Date","Rating Cycle 2/3 Total Number of Health Deficiencies","Rating Cycle 2 Number of Standard Health Deficiencies","Rating Cycle 2/3 Number of Complaint Health Deficiencies","Rating Cycle 2/3 Health Deficiency Score","Rating Cycle 2/3 Number of Health Revisits","Rating Cycle 2/3 Health Revisit Score","Rating Cycle 2/3 Total Health Score","Total Weighted Health Survey Score","Number of Facility Reported Incidents","Number of Substantiated Complaints","Number of Citations from Infection Control Inspections","Number of Fines","Total Amount of Fines in Dollars","Number of Payment Denials","Total Number of Penalties","Location","Latitude","Longitude","Geocoding Footnote","Processing Date"
"195303","Twin Oaks Nursing Home","506 WEST 5TH STREET","LAPLACE","LA","70068","9856529538","470","St. John Baptist","Y",For profit - Corporation,148,76.7,,Medicare and Medicaid,"N","TWIN OAKS NURSING HOME INC",1994-11-01,INSPIRED HEALTHCARE MANAGEMENT,286,6,1.5,2.0,2.8,1.2,N,,Y,N,N,Resident,Yes,1,,2,,1,,2,,1,,3,,,,1.78912,1.43559,0.39857,1.83417,3.62329,3.23967,0.28867,0.07113,53.8,,50.0,,0,,1.26594,0.91987,2.15963,0.80077,0.62856,3.58896,3.15007,1.93184,1.55011,0.43037,3.91232,3.49810,2024-08-07,16,7,9,84,2,42,126,2023-11-02,27,13,14,168,1,0,168,136.500,7,21,,1,15000.00,0,1,"506 WEST 5TH STREET,LAPLACE,LA,70068",30.0694,-90.498,,2025-10-01
"195304","CHATEAU ST. JAMES REHAB AND RETIREMENT","1980 JEFFERSON HWY","LUTCHER","LA","70071","2258695725","460","St. James","Y",For profit - Individual,116,76.8,,Medicare and Medicaid,"N","RIVERLANDS HOME GROUP LLC",1994-12-01,PRIORITY MANAGEMENT,425,37,2.5,2.9,1.4,3.2,N,,N,N,N,Resident,Yes,1,,2,,4,,4,,,2,1,,,,1.63374,1.34066,0.22495,1.56561,3.19935,2.62971,0.10789,0.09892,,26,,26,,26,1.42579,1.03602,2.43233,0.90189,0.70793,4.04214,3.54783,1.56629,1.28531,0.21566,3.06726,2.52114,2024-11-08,8,6,2,24,1,0,24,2023-12-14,24,8,18,261,1,0,261,83.250,1,24,,2,48562.00,0,2,"1980 JEFFERSON HWY,LUTCHER,LA,70071",30.0389,-90.693,,2025-10-01
"195309","Bayside Healthcare Center","3201 WALL BLVD","GRETNA","LA","70056","5043931515","250","Jefferson","Y",For profit - Limited Liability company,151,94.7,,Medicare and Medicaid,"N","BAYSIDE SENIOR CARE, L.L.C.",1995-01-01,,,,,,,,N,,N,N,N,Resident,Yes,2,,3,,2,,1,,3,,1,,,,1.90702,1.10764,0.12850,1.23614,3.14315,2.69193,0.11848,0.03614,73.2,,,27,0,,1.37080,0.99606,2.33852,0.86710,0.68062,3.88624,3.41099,1.90163,1.10451,0.12813,3.13427,2.68432,2024-10-16,7,7,0,48,1,0,48,2023-12-07,10,8,6,72,2,36,108,63.000,0,14,,0,0.00,0,0,"3201 WALL BLVD,GRETNA,LA,70056",29.8656,-90.032,,2025-10-01
"195310","Many Healthcare and Rehabilitation Center","120 Natchitoches Hwy 6 East","Many","LA","71449","3182569233","420","Sabine","N",For profit - Corporation,162,77.5,,Medicare and Medicaid,"N","NEXION HEALTH AT MANY NORTH, INC.",1995-02-01,NEXION HEALTH,370,52,2.5,2.6,2.8,2.8,N,,N,N,N,Resident,Yes,2,,2,,2,,3,,1,,3,,,,2.06980,1.21088,0.25100,1.46188,3.53168,2.99061,0.12430,0.01717,23.8,,20.0,,0,,1.20153,0.87307,2.04976,0.76003,0.59658,3.40638,2.98981,2.35470,1.37755,0.28555,4.01781,3.40226,2025-01-14,10,10,0,60,1,0,60,2023-12-13,23,6,17,168,1,0,168,87.000,8,6,0,3,112959.00,0,3,"120 Natchitoches Hwy 6 East,Many,LA,71449",31.5642,-93.481,22,2025-10-01
"195312","PIERREMONT HEALTHCARE CENTER","725 MITCHELL LANE","SHREVEPORT","LA","71106","3188682789","080","Caddo","Y",For profit - Corporation,180,119.3,,Medicare and Medicaid,"N","NEXION HEALTH AT PIERREMONT, INC.",1995-01-01,NEXION HEALTH,370,52,2.5,2.6,2.8,2.8,N,SFF Candidate,Y,N,N,Resident,Yes,1,,1,,1,,3,,1,,2,,,,2.14537,1.28278,0.18310,1.46588,3.61125,3.07671,0.15310,0.01610,45.4,,,27,0,,1.27894,0.92932,2.18182,0.80900,0.63502,3.62583,3.18243,2.29296,1.37102,0.19570,3.85968,3.28836,2024-11-15,10,6,4,281,1,0,281,2023-10-12,35,7,28,782,1,0,782,406.250,8,105,1,5,431489.00,0,5,"725 MITCHELL LANE,SHREVEPORT,LA,71106",32.4538,-93.744,,2025-10-01
"195313","ST AGNES HEALTHCARE AND REHAB CENTER","606 LATIOLAIS ROAD","BREAUX BRIDGE","LA","70517","3373324808","490","St. Martin","Y",For profit - Corporation,128,92.7,,Medicare and Medicaid,"N","ST. AGNES HEALTHCARE & REHAB CENTER,INC.",1995-01-01,,,,,,,,N,,N,N,N,Resident,Yes,3,,3,,3,,2,,3,,3,,,,3.34307,1.13966,0.14711,1.28677,4.62984,3.83379,0.09044,0.02062,47.6,,,27,0,,1.21188,0.88059,2.06742,0.76658,0.60172,3.43572,3.01556,3.77076,1.28546,0.16593,5.22215,4.32426,2025-03-26,8,8,0,48,0,0,48,2024-03-06,10,6,4,48,1,0,48,48.000,3,10,,0,0.00,0,0,"606 LATIOLAIS ROAD,BREAUX BRIDGE,LA,70517",30.2945,-91.906,,2025-10-01
"195315","KAPLAN HEALTHCARE CENTER","1300 W. EIGHTH STREET","KAPLAN","LA","70548","3372706131","560","Vermilion","Y",For profit - Corporation,113,70.6,,Medicare and Medicaid,"N","NEXION HEALTH AT KAPLAN, INC.",1995-01-01,NEXION HEALTH,370,52,2.5,2.6,2.8,2.8,N,,N,N,N,Resident,Yes,2,,3,,2,,4,,1,,1,,,,1.71562,1.25424,0.23966,1.49391,3.20952,2.82982,0.18159,0.02404,58.6,,,27,0,,1.25436,0.91145,2.13987,0.79344,0.62281,3.55613,3.12124,1.86958,1.36680,0.26117,3.49755,3.08377,2024-11-06,7,7,0,60,1,0,60,2023-11-15,10,7,3,76,1,0,76,64.000,6,12,0,3,40243.00,0,3,"1300 W. EIGHTH STREET,KAPLAN,LA,70548",30.0082,-92.296,,2025-10-01
"195316","CLAIBORNE HEALTHCARE CENTER","1536 CLAIBORNE AVE.","SHREVEPORT","LA","71103","3186313426","080","Caddo","Y",For profit - Corporation,81,66.5,,Medicare and Medicaid,"N","NEXION HEALTH AT CLAIBORNE, INC.",1995-02-01,NEXION HEALTH,370,52,2.5,2.6,2.8,2.8,N,,N,N,N,Resident,Yes,1,,1,,4,,4,,,2,1,,,,2.04243,1.10105,0.15656,1.25761,3.30004,3.02307,0.12797,0.01326,,26,,26,,26,1.07707,0.78263,1.83743,0.68130,0.53478,3.05352,2.68010,2.59207,1.39736,0.19870,4.18813,3.83662,2025-01-29,11,9,2,72,1,0,72,2023-12-13,26,10,16,798,1,0,798,253.500,13,11,,2,112947.00,0,2,"1536 CLAIBORNE AVE.,SHREVEPORT,LA,71103",32.4782,-93.761,,2025-10-01
"195318","SENIOR VILLAGE NURSING & REHABILITATION CENTER","315 HARRY GUILBEAU ROAD","OPELOUSAS","LA","70570","3379484486","480","St. Landry","N",For profit - Corporation,150,121.9,,Medicare and Medicaid,"N","COMMUNITY CARE CENTER OF OPELOUSAS LLC",1995-02-01,THE BEEBE FAMILY,779,48,2.7,3.1,3.1,1.8,N,,N,N,N,Resident,Yes,3,,3,,2,,2,,3,,3,,,,2.54960,1.05426,0.40217,1.45643,4.00603,3.36455,0.26511,0.02463,43.8,,10.0,,0,,1.37854,1.00169,2.35172,0.87200,0.68447,3.90819,3.43026,2.52811,1.04538,0.39878,3.97228,3.33620,2024-09-10,11,9,2,68,1,0,68,2023-08-09,14,9,5,84,1,0,84,72.000,1,14,,2,30593.00,0,2,"315 HARRY GUILBEAU ROAD,OPELOUSAS,LA,70570",30.4792,-92.087,,2025-10-01
"195319","Thibodaux Healthcare and Rehabilitation Center","150 PERCY BROWN ROAD","THIBODAUX","LA","70301","9854461332","280","Lafourche","Y",For profit - Corporation,78,71.3,,Medicare and Medicaid,"N","NEXION HEALTH AT THIBODAUX, INC.",1995-01-01,NEXION HEALTH,370,52,2.5,2.6,2.8,2.8,N,,N,N,N,Resident,Yes,4,,4,,3,,5,,2,,3,,,,2.06527,1.09511,0.58119,1.67629,3.74156,3.14216,0.20029,0.09913,40.0,,27.3,,0,,1.36554,0.99224,2.32955,0.86377,0.67801,3.87133,3.39791,2.06736,1.09622,0.58178,3.74536,3.14535,2025-03-25,7,6,1,40,1,0,40,2024-03-21,11,7,4,48,1,0,48,42.000,3,12,,0,0.00,0,0,"150 PERCY BROWN ROAD,THIBODAUX,LA,70301",29.7898,-90.789,,2025-10-01
"195321","HERITAGE MANOR OF OPELOUSAS","7941 I-49 SOUTH SERVICE ROAD","OPELOUSAS","LA","70570","3379427588","480","St. Landry","N",For profit - Limited Liability company,109,103.3,,Medicare and Medicaid,"N","OPELOUSAS HEALTHCARE PROPERTIES LLC",1995-02-01,THE BEEBE FAMILY,779,48,2.7,3.1,3.1,1.8,N,,N,N,N,Both,Yes,1,,1,,1,,1,,2,,3,,,,2.42217,1.14468,0.31685,1.46152,3.88369,3.22289,0.15485,0.03881,54.2,,14.3,,0,,1.20662,0.87677,2.05844,0.76325,0.59911,3.42079,3.00246,2.74396,1.29675,0.35894,4.39965,3.65106,2024-08-28,16,14,2,180,1,0,180,2023-07-19,14,10,4,76,2,38,114,163.500,4,13,,3,75014.00,1,4,"7941 I-49 SOUTH SERVICE ROAD,OPELOUSAS,LA,70570",30.5326,-92.085,22,2025-10-01
"195323","HERITAGE MANOR HEALTH & REHAB","2575 AIRLINE DRIVE","BOSSIER CITY","LA","71111","3187467466","070","Bossier","Y",For profit - Limited Liability company,64,56.6,,Medicare and Medicaid,"N","2575 AIRLINE DRIVE OPCO LLC",1995-03-01,,,,,,,,N,,N,N,N,Resident,Yes,1,,1,,3,,4,,1,,1,,,,1.86997,1.06441,0.28248,1.34689,3.21686,3.04642,0.42383,0.03435,54.9,,66.7,,1,,1.30489,0.94818,2.22608,0.82541,0.64790,3.69940,3.24700,1.95887,1.11501,0.29590,3.36978,3.19124,2025-08-07,33,17,17,272,0,0,272,2024-07-16,19,17,2,353,2,177,530,336.500,4,49,,1,73487.00,0,1,"2575 AIRLINE DRIVE,BOSSIER CITY,LA,71111",32.5475,-93.709,,2025-10-01
"195324","FAIR CITY HEALTH AND REHAB","2000 MAIN STREET","FRANKLINTON","LA","70438","9858394491","580","Washington","N",For profit - Individual,121,90.4,,Medicare and Medicaid,"N","2000 FRANK SNF LLC",1995-03-01,,,,,,,,N,,N,N,N,Both,Yes,1,,1,,1,,1,,1,,2,,,,2.27430,1.22746,0.23076,1.45821,3.73252,2.97796,0.09605,0.00000,55.2,,70.0,,0,,1.28564,0.93419,2.19324,0.81324,0.63834,3.64482,3.19910,2.41809,1.30506,0.24534,3.96850,3.16623,2025-04-02,11,6,5,68,2,34,102,2024-05-22,28,4,24,811,1,0,811,279.250,10,60,3,4,248719.00,1,5,"2000 MAIN STREET,FRANKLINTON,LA,70438",30.8344,-90.152,,2025-10-01
"195325","VIVIAN HEALTHCARE CENTER","912 SOUTH PECAN STREET","VIVIAN","LA","71082","3183752203","080","Caddo","Y",For profit - Corporation,95,59.3,,Medicare and Medicaid,"N","NEXION HEALTH AT VIVIAN, INC.",1995-01-01,NEXION HEALTH,370,52,2.5,2.6,2.8,2.8,N,,N,N,N,Resident,Yes,5,,4,,5,,5,,,2,2,,,,1.72198,1.02102,0.21742,1.23844,2.96042,2.58503,0.19609,0.00740,23.8,,,27,0,,1.16919,0.84957,1.99458,0.73957,0.58052,3.31467,2.90932,2.01321,1.19369,0.25419,3.46109,3.02222,2025-03-19,3,3,0,20,1,0,20,2024-02-21,7,3,4,40,1,0,40,25.000,3,6,,0,0.00,0,0,"912 SOUTH PECAN STREET,VIVIAN,LA,71082",32.8631,-93.985,,2025-10-01
"195326","New Iberia Manor South","600 BAYARD ST","NEW IBERIA","LA","70560","3373653441","220","Iberia","N",For profit - Corporation,100,86.2,,Medicare and Medicaid,"N","NEXION HEALTH AT NEW IBERIA SOUTH, INC.",1995-01-01,NEXION HEALTH,370,52,2.5,2.6,2.8,2.8,N,,N,N,N,Both,Yes,2,,2,,2,,3,,2,,2,,,,2.04647,1.49927,0.16810,1.66737,3.71384,3.26605,0.14947,0.11517,46.4,,60.0,,0,,1.36443,0.99144,2.32765,0.86307,0.67746,3.86819,3.39515,2.05021,1.50201,0.16841,3.72062,3.27202,2025-07-23,18,10,8,100,1,0,100,2024-07-23,23,13,10,160,2,80,240,135.000,9,35,0,1,8169.00,1,2,"600 BAYARD ST,NEW IBERIA,LA,70560",29.9849,-91.801,,2025-10-01
"195327","GONZALES HEALTHCARE CENTER","905 WEST CORNERVIEW ROAD","GONZALES","LA","70737","2256445358","020","Ascension","Y",For profit - Corporation,120,83.4,,Medicare and Medicaid,"N","NEXION HEALTH AT GONZALES, INC.",1995-01-01,NEXION HEALTH,370,52,2.5,2.6,2.8,2.8,N,,Y,N,N,Resident,Yes,1,,1,,1,,1,,1,,3,,,,1.96608,1.45695,0.29022,1.74716,3.71324,3.03300,0.13985,0.06422,42.2,,33.3,,0,,1.26502,0.91920,2.15806,0.80019,0.62810,3.58635,3.14777,2.12447,1.57432,0.31360,4.01238,3.27734,2025-05-07,9,3,6,40,1,0,40,2024-05-16,34,8,29,501,2,251,752,218.000,94,24,,2,92032.00,0,2,"905 WEST CORNERVIEW ROAD,GONZALES,LA,70737",30.2406,-90.967,,2025-10-01
"195328","NEW IBERIA MANOR NORTH","1803 JANE STREET","NEW IBERIA","LA","70563","3373652466","220","Iberia","N",For profit - Corporation,101,78.1,,Medicare and Medicaid,"N","NEXION HEALTH AT NEW IBERIA NORTH, INC.",1995-02-01,NEXION HEALTH,370,52,2.5,2.6,2.8,2.8,N,,N,N,N,Resident,Yes,2,,2,,2,,2,,1,,2,,,,1.77631,1.26072,0.15337,1.41409,3.19040,2.72315,0.22779,0.07076,48.0,,20.0,,2,,1.25433,0.91143,2.13982,0.79343,0.62279,3.55604,3.12117,1.93577,1.37389,0.16714,3.47680,2.96760,2025-05-14,8,6,2,44,1,0,44,2024-05-15,31,18,16,168,2,84,252,96.000,6,24,,1,13305.00,0,1,"1803 JANE STREET,NEW IBERIA,LA,70563",30.0297,-91.824,,2025-10-01
"195329","Landmark of Plaquemine","59355 RIVER WEST DRIVE","PLAQUEMINE","LA","70764","2253854332","230","Iberville","Y",For profit - Limited Liability company,108,70.7,,Medicare and Medicaid,"N","LANDMARK OF PLAQUEMINE LLC",1995-02-01,THE BEEBE FAMILY,779,48,2.7,3.1,3.1,1.8,N,,N,N,N,None,Yes,3,,4,,1,,1,,1,,2,,,,2.10803,1.35363,0.28892,1.64255,3.75058,2.94401,0.13262,0.01346,53.2,,85.7,,0,,1.16332,0.84530,1.98457,0.73586,0.57761,3.29803,2.89471,2.47698,1.59055,0.33948,4.40701,3.45928,2024-07-11,4,4,0,20,1,0,20,2023-09-14,14,12,2,72,1,0,72,33.000,0,8,,0,0.00,0,0,"59355 RIVER WEST DRIVE,PLAQUEMINE,LA,70764",30.2626,-91.246,,2025-10-01
"195336","MARRERO HEALTHCARE CENTER","5301 AUGUST AVENUE","MARRERO","LA","70072","5043413658","250","Jefferson","Y",For profit - Corporation,105,87.1,,Medicare and Medicaid,"N","NEXION HEALTH AT MARRERO, INC.",1995-02-01,NEXION HEALTH,370,52,2.5,2.6,2.8,2.8,N,,N,N,N,Resident,Yes,2,,2,,2,,2,,2,,2,,,,1.84197,1.06243,0.32878,1.39121,3.23317,2.62125,0.14490,0.08260,27.9,,30.0,,1,,1.33621,0.97093,2.27951,0.84522,0.66345,3.78819,3.32493,1.88430,1.08685,0.33633,3.30749,2.68150,2025-02-25,4,4,0,16,1,0,16,2024-02-21,12,9,3,377,2,189,566,153.500,0,12,,1,46261.00,1,2,"5301 AUGUST AVENUE,MARRERO,LA,70072",29.8841,-90.105,,2025-10-01
"195342","PELICAN POINTE HEALTHCARE AND REHABILITATION","405 MILTON ROAD","MAURICE","LA","70555","3378934449","560","Vermilion","Y",Non profit - Corporation,120,115.4,,Medicare and Medicaid,"N","ARKANSAS ELDER OUTREACH OF LITTLE ROCK, INC.",1995-06-01,ELDER OUTREACH NURSING & REHABILITATION,194,5,3.2,3.2,2.2,3.0,N,,N,N,N,Resident,Yes,5,,4,,5,,4,,5,,2,,,,2.32376,1.19178,0.25442,1.44620,3.76996,3.04675,0.07880,0.05860,61.9,,57.1,,0,,1.33073,0.96695,2.27017,0.84176,0.66073,3.77266,3.31130,2.38695,1.22419,0.26134,3.87249,3.12960,2024-10-09,10,10,0,40,1,0,40,2023-10-04,9,3,6,48,1,0,48,42.000,0,12,,0,0.00,0,0,"405 MILTON ROAD,MAURICE,LA,70555",30.1026,-92.12,,2025-10-01
"195343","LEGACY NURSING AND REHABILITATION OF PLAQUEMINE","59215 RIVER WEST DRIVE","PLAQUEMINE","LA","70764","2256870240","230","Iberville","Y",For profit - Limited Liability company,151,112.5,,Medicare and Medicaid,"N","PLAQUEMINE CARING, LLC",1995-05-01,LEGACY NURSING & REHABILITATION,307,9,2.0,2.2,1.6,2.4,N,,N,N,N,Resident,Yes,2,,1,,5,,4,,5,,1,,,,1.92797,1.13249,0.11869,1.25117,3.17914,2.65191,0.10431,0.00552,42.9,,,27,1,,1.48493,1.07900,2.53322,0.93929,0.73729,4.20980,3.69498,1.77476,1.04249,0.10925,2.92650,2.44117,2025-01-29,12,8,4,52,1,0,52,2024-02-09,38,21,24,668,1,0,668,206.000,0,41,1,3,245413.00,0,3,"59215 RIVER WEST DRIVE,PLAQUEMINE,LA,70764",30.2642,-91.244,,2025-10-01
"195344","SPRING LAKE SKILLED NURSING AND REHABILITATION","8622 LINE AVENUE","SHREVEPORT","LA","71106","3188684126","080","Caddo","Y",For profit - Corporation,160,113.3,,Medicare and Medicaid,"N","PMG OPCO-SPRINGLAKE LLC",1995-07-01,PRIORITY MANAGEMENT,425,37,2.5,2.9,1.4,3.2,N,,N,N,N,Resident,Yes,3,,4,,3,,4,,3,,1,,,,2.03600,1.25939,0.21971,1.47911,3.51510,2.99588,0.18199,0.08189,55.4,,40.0,,0,,1.46482,1.06438,2.49891,0.92657,0.72731,4.15279,3.64494,1.89993,1.17523,0.20503,3.28019,2.79567,2024-09-25,2,2,0,12,1,0,12,2023-08-09,8,3,5,52,1,0,52,22.000,0,25,,0,0.00,0,0,"8622 LINE AVENUE,SHREVEPORT,LA,71106",32.4238,-93.739,,2025-10-01
"195348","LACOMBE NURSING CENTRE","28119 HWY 190","LACOMBE","LA","70445","9858825417","510","St. Tammany","Y",For profit - Limited Liability company,98,72.8,,Medicare and Medicaid,"N","GOUX ENTERPRISES, INC.",1995-10-01,INSPIRED HEALTHCARE MANAGEMENT,286,6,1.5,2.0,2.8,1.2,N,,N,N,N,Both,Yes,3,,4,,1,,1,,,2,4,,,,2.09427,0.96661,0.51778,1.48439,3.57867,3.25859,0.54530,0.06794,33.8,,0.0,,1,,1.29221,0.93896,2.20445,0.81739,0.64161,3.66345,3.21544,2.21536,1.02250,0.54772,3.78558,3.44700,2025-07-30,10,8,2,44,1,0,44,2024-08-21,11,7,4,48,1,0,48,45.000,3,5,0,0,0.00,0,0,"28119 HWY 190,LACOMBE,LA,70445",30.3121,-89.939,,2025-10-01
"195349","The Lodge at Tangi Pines","10746 Hwy 16","Amite","LA","70422","9857489464","520","Tangipahoa","Y",For profit - Corporation,100,94.2,,Medicare and Medicaid,"N","TANGI PINES SENIOR CARE LLC",1995-10-01,,,,,,,,N,,Y,N,N,Resident,Yes,2,,2,,2,,1,,2,,4,,,,3.20986,0.89341,0.29638,1.18979,4.39965,3.76456,0.13015,0.02051,50.9,,0.0,,0,,1.28478,0.93356,2.19178,0.81269,0.63792,3.64239,3.19696,3.41508,0.95053,0.31533,4.68094,4.00524,2025-04-30,6,6,2,72,1,0,72,2024-05-22,7,3,4,60,1,0,60,69.000,2,3,,2,133030.00,0,2,"10746 Hwy 16,Amite,LA,70422",30.7255,-90.545,,2025-10-01
"195350","HIGHLAND PLACE REHAB AND NURSING CENTER","1736 IRVING PLACE","SHREVEPORT","LA","71101","3182211983","080","Caddo","Y",For profit - Corporation,227,168.8,,Medicare and Medicaid,"N","IRVING PLACE ASSOCIATES LP",1995-09-15,WELLINGTON HEALTH CARE SERVICES,559,14,1.5,1.8,1.9,1.6,N,,Y,N,N,Resident,Yes,1,,1,,2,,3,,1,,1,,,,1.68622,0.89074,0.30564,1.19638,2.88260,2.56803,0.22523,0.07391,31.5,,64.3,,2,,1.30786,0.95033,2.23115,0.82729,0.64938,3.70781,3.25438,1.76238,0.93097,0.31944,3.01278,2.68400,2025-07-24,33,20,18,453,0,0,453,2024-06-06,30,16,14,208,1,0,208,391.750,12,83,,2,373587.00,0,2,"1736 IRVING PLACE,SHREVEPORT,LA,71101",32.4951,-93.744,,2025-10-01
"195353","Timber Springs Rehab and Retirement","215 FIRST STREET N E","SPRINGHILL","LA","71075","3185888871","590","Webster","N",For profit - Limited Liability company,153,48.7,,Medicare and Medicaid,"N","LA FIRST STREET, LLC",1996-01-01,,,,,,,,N,,N,N,N,Resident,Yes,3,,4,,2,,1,,3,,1,,,,1.87396,1.22214,0.21323,1.43537,3.30933,2.85882,0.17221,0.10619,,26,,27,1,,1.17108,0.85094,1.99780,0.74077,0.58146,3.32002,2.91402,2.18736,1.42652,0.24889,3.86278,3.33693,2025-01-15,5,5,0,28,1,0,28,2023-12-06,5,4,1,36,1,0,36,30.000,3,0,,1,141373.00,0,1,"215 FIRST STREET N E,SPRINGHILL,LA,71075",33.002,-93.459,22,2025-10-01
"195356","ST BERNARD NURSING & REHAB","4021 RONEAGLE WAY","NEW ORLEANS","LA","70122","5042467900","350","Orleans","Y",For profit - Limited Liability company,127,113.4,,Medicare and Medicaid,"N","ST BERNARD NURSING & REHAB LLC",1996-01-18,VOLARE HEALTH,628,16,1.6,1.5,2.7,3.2,N,,N,N,N,Resident,Yes,1,,2,,3,,4,,3,,1,,,,2.12884,0.98332,0.24730,1.23061,3.35945,2.67667,0.11011,0.06290,58.8,,77.8,,0,,1.24484,0.90454,2.12364,0.78743,0.61808,3.52915,3.09757,2.33762,1.07975,0.27155,3.68892,2.93917,2025-06-10,10,7,3,60,1,0,60,2024-06-05,21,6,15,120,2,60,180,90.000,5,33,,0,0.00,0,0,"4021 RONEAGLE WAY,NEW ORLEANS,LA,70122",30.006,-90.065,22,2025-10-01
"195359","St. Joseph Continuing Care Center","2301 STERLINGTON ROAD","MONROE","LA","71203","3183233426","360","Ouachita","Y",For profit - Corporation,130,79.0,,Medicare and Medicaid,"N","MONROE CONTINUING CARE CENTER LC",1995-11-06,CANTEX CONTINUING CARE,100,38,3.3,2.7,2.2,4.6,Y,,N,N,N,Resident,Yes,2,,2,,2,,2,,2,,2,,,,1.85909,1.33223,0.27631,1.60854,3.46763,2.87634,0.42875,0.06368,48.7,,72.7,,0,,1.25374,0.91101,2.13883,0.79306,0.62250,3.55439,3.11972,2.02692,1.45250,0.30125,3.78068,3.13600,2024-10-03,19,12,15,132,1,0,132,2023-09-13,19,11,19,140,1,0,140,134.000,0,59,,1,9750.00,1,2,"2301 STERLINGTON ROAD,MONROE,LA,71203",32.541,-92.079,,2025-10-01
"195361","Baton Rouge Health Care Center","5550 THOMAS ROAD","BATON ROUGE","LA","70811","2257742141","160","E. Baton Rouge","Y",Non profit - Corporation,145,88.0,,Medicare and Medicaid,"N","COMMCARE CORPORATION",1996-05-01,COMMCARE CORPORATION,150,14,2.6,2.5,3.2,3.6,N,,N,N,N,Resident,Yes,2,,2,,4,,4,,4,,3,,,,2.82851,1.01749,0.27625,1.29374,4.12224,3.34865,0.15980,0.05195,42.4,,40.0,,0,,1.26782,0.92124,2.16285,0.80196,0.62950,3.59431,3.15476,3.04960,1.09702,0.29784,4.44446,3.61040,2024-10-02,4,3,1,20,1,0,20,2023-10-04,16,5,14,475,1,0,475,133.750,5,19,0,3,203721.00,2,5,"5550 THOMAS ROAD,BATON ROUGE,LA,70811",30.5589,-91.148,,2025-10-01
"195362","ZACHARY MANOR NURSING AND REHABILITATION CENTER","6161 MAIN STREET","ZACHARY","LA","70791","2256546893","160","E. Baton Rouge","Y",For profit - Corporation,110,69.3,,Medicare and Medicaid,"N","ZACHARY MANOR NURSING & REHABILITATION CENTER LLC",1996-05-01,CENTRAL MANAGEMENT COMPANY,130,21,2.5,2.7,2.9,2.1,N,,N,N,N,Resident,Yes,4,,4,,2,,3,,1,,3,,,,2.10304,1.32010,0.27319,1.59329,3.69633,3.23381,0.20762,0.06799,48.6,,50.0,,0,,1.28780,0.93576,2.19693,0.81460,0.63942,3.65094,3.20447,2.23225,1.40120,0.28998,3.92343,3.43249,2025-01-08,8,6,2,52,1,0,52,2024-02-21,6,4,3,28,1,0,28,46.000,4,9,,0,0.00,0,0,"6161 MAIN STREET,ZACHARY,LA,70791",30.6502,-91.138,,2025-10-01
