Facility Type,OBJECTID,Name of Facility,Location Street,Location City,Location State,ZIP Code,Phone,Admin Name,Admin Phone,Facility Email,Fac. Cont. Email,License,Expiration,County / Ownership Type,Mailing Address,Mailing City,Mailing State,Mailing ZIP,Licensee,Alzheimer Care,Alzheimer Unit,NH Beds,Institutional NH Beds,Number of Licensed Beds,Medical Detox Beds,RTP Beds (PSAD),Social Detox Beds,x,y
Community Residential Care Facilities,11314,FAMILY RESIDENTIAL CARE HOME I,21 EDWARDS ST,SUMTER,SC,29150-4808,803-757-1032,"WALTERS, MICHAEL A.",803-775-9555,TWRG32@YAHOO.COM,TWRG32@YAHOO.COM,CRC-1233,02/28/2026,Sumter / Sole Proprietorship,PO BOX 562,SUMTER,SC,29151-0562,MICHAEL A WALTERS,N,N,,,5,,,,559806.835,3753363.352
Community Residential Care Facilities,11315,REID'S RESIDENTIAL CARE FACILITY,726 OLD SPARTANBURG HWY,WELLFORD,SC,29385-9668,864-439-9238,"DANIELS, JUDY C.",864-439-9238,ADMIN@REIDSRCF.COM,ADMIN@REIDSRCF.COM,CRC-0771,05/31/2026,Spartanburg / Sole Proprietorship,726 OLD SPARTANBURG HWY,WELLFORD,SC,29385-9668,JUDY DANIELS,N,N,,,23,,,,399215.718,3867626.751
Community Residential Care Facilities,11316,ROUSE COMMUNITY CARE HOME #1,102 BALLENTON RD,COLUMBIA,SC,29203-9073,803-724-2820,"ROUSE, CHARLENE E.",803-788-1753,MATRICEROUSE@GMAIL.COM,MATRICEROUSE@GMAIL.COM,CRC-0327,12/31/2025,Richland / Corporation,PO BOX 134,STATE PARK,SC,29147-0134,ROUSE COMMUNITY CARE HOME INC,N,N,,,8,,,,503585.605,3774316.187
Community Residential Care Facilities,11317,ROUSE COMMUNITY CARE HOME #3,9316 WILSON BLVD,COLUMBIA,SC,29203-9769,803-754-5720,"ROUSE, CHARLENE E.",803-754-5720,MATRICEROUSE@AOL.COM,MATRICEROUSE@AOL.COM,CRC-0238,09/30/2026,Richland / Corporation,PO BOX 134,STATE PARK,SC,29147-0134,ROUSE COMMUNITY CARE HOME INC,N,N,,,10,,,,500757.573,3776426.822
Community Residential Care Facilities,11318,MIDWAY RESIDENTIAL CARE FACILITY #1,4026 MOORE DUNCAN HWY,MOORE,SC,29369-9721,864-433-8999,"WALKER, LINDA C.",864-433-8999,MIDWAYRESIDENTIALCARE@YAHOO.COM,MIDWAYRESIDENTIALCARE@YAHOO.COM,CRC-0318,12/31/2025,Spartanburg / Corporation,4026 MOORE DUNCAN HWY,MOORE,SC,29369-9721,MIDWAY RESIDENTIAL CARE FACILITY INC,N,N,,,13,,,,402750.228,3860842.788
Community Residential Care Facilities,11319,MIDWAY RESIDENTIAL CARE FACILITY #1A,4026 MOORE DUNCAN HWY,MOORE,SC,29369-9721,864-433-8999,"WALKER, LINDA C.",864-433-8999,MIDWAYRESIDENTIALCARE@YAHOO.COM,MIDWAYRESIDENTIALCARE@YAHOO.COM,CRC-0320,12/31/2025,Spartanburg / Corporation,4026 MOORE DUNCAN HWY,MOORE,SC,29369-9721,MIDWAY RESIDENTIAL CARE FACILITY INC,N,N,,,14,,,,402750.228,3860842.788
Community Residential Care Facilities,11320,MIDWAY RESIDENTIAL CARE FACILITY #2,4026 MOORE DUNCAN HWY,MOORE,SC,29369-9721,864-433-8999,"WALKER, LINDA C.",864-433-8999,MIDWAYRESIDENTIALCARE@YAHOO.COM,MIDWAYRESIDENTIALCARE@YAHOO.COM,CRC-0321,12/31/2025,Spartanburg / Corporation,4026 MOORE DUNCAN HWY,MOORE,SC,29369-9721,MIDWAY RESIDENTIAL CARE FACILITY INC,N,N,,,25,,,,402750.228,3860842.788
Community Residential Care Facilities,11321,MIDWAY RESIDENTIAL CARE FACILITY #3,4026 MOORE DUNCAN HWY,MOORE,SC,29369-9721,864-433-8999,"WALKER, LINDA C.",864-433-8999,MIDWAYRESIDENTIALCARE@YAHOO.COM,MIDWAYRESIDENTIALCARE@YAHOO.COM,CRC-0346,12/31/2025,Spartanburg / Corporation,4026 MOORE DUNCAN HWY,MOORE,SC,29369-9721,MIDWAY RESIDENTIAL CARE FACILITY INC,N,N,,,17,,,,402750.228,3860842.788
Community Residential Care Facilities,11322,MIDWAY RESIDENTIAL CARE FACILITY #4,4026 MOORE DUNCAN HWY,MOORE,SC,29369-9721,864-433-8999,"WALKER, LINDA C.",864-433-8999,MIDWAYRESIDENTIALCARE@YAHOO.COM,MIDWAYRESIDENTIALCARE@YAHOO.COM,CRC-0322,12/31/2025,Spartanburg / Corporation,4026 MOORE DUNCAN HWY,MOORE,SC,29369-9721,MIDWAY RESIDENTIAL CARE FACILITY INC,N,N,,,14,,,,402750.228,3860842.788
Community Residential Care Facilities,11324,JOANNE'S COMMUNITY CARE HOME II,756 FARROWOOD DR,COLUMBIA,SC,29223-7801,803-736-3094,"CALDWELL, JOANNE M.",803-736-3094,JOANNESCCH@AOL.COM,JOANNESCCH@AOL.COM,CRC-0030,03/31/2026,Richland / Sole Proprietorship,PO BOX 23494,COLUMBIA,SC,29224-3494,JOANNE M CALDWELL,N,N,,,9,,,,505629.016,3774497.428
Community Residential Care Facilities,11325,ELLIOTT'S RESIDENTIAL CARE HOME,2432 LANDSDOWNE RD,BOWMAN,SC,29018-9583,803-829-3348,"LEVINS, DEBORAH Y.",803-829-3348,ELLIOTTSCAREHOME@GMAIL.COM,ELLIOTTSCAREHOME@GMAIL.COM,CRC-0272,10/31/2025,Orangeburg / Corporation,PO BOX 265,BOWMAN,SC,29018-0265,ELLIOTT'S RESIDENTIAL CARE HOME INC,N,N,,,7,,,,535997.986,3693282.759
Community Residential Care Facilities,11326,GREENVILLE COMMUNITY RESIDENCE,158 CAVALIER DR,GREENVILLE,SC,29607-4262,864-277-9656,"MOSS, TATYANA",864-277-9656,AMANDA.STONE@THRIVEUPSTATE.ORG,,CRC-0073,03/31/2026,Greenville / State,1700 RIDGE RD,GREENVILLE,SC,29607-4730,GREENVILLE COUNTY DISABILITIES & SPECIAL NEEDS BOARD,N,N,,,12,,,,376356.704,3850951.095
Community Residential Care Facilities,11327,LAKEVIEW ASSISTED LIVING,320 CAMP RD,WALHALLA,SC,29691-4811,864-638-5212,"WRIGHT, DOUGLAS A.",864-225-3370,DWRIGHT@SENIORSOLUTIONS-SC.ORG,DWRIGHT@SENIORSOLUTIONS-SC.ORG,CRC-0086,04/30/2026,Oconee / Non-Profit Corporation,3420 CLEMSON BLVD STE 17,ANDERSON,SC,29621-1324,LAKEVIEW ASSISTED LIVING INC,Y,N,,,19,,,,306484.933,3844395.286
Community Residential Care Facilities,11328,LAURENS MEMORIAL HOME FOR AGED,3744 TORRINGTON RD,LAURENS,SC,29360-0638,864-682-2322,"VRBAS, SUSAN",843-486-2712,ACOLEMANLMHEXEC@PRTCNET.COM,SVRBAS@HARMONYSENIORSERVICES.COM,CRC-0316,12/31/2025,Laurens / Non-Profit Corporation,PO BOX 638,LAURENS,SC,29360-0638,LAURENS MEMORIAL HOME FOR AGED INC,N,N,,,50,,,,413302.727,3819058.94
Community Residential Care Facilities,11330,HERITAGE AT LOWMAN RESIDENTIAL CARE,2101 DUTCH FORK RD,CHAPIN,SC,29036,803-732-8800,"KNOWLES, AMANDA",803-732-8800,AKNOWLES@THEHERITAGEATLOWMAN.ORG,,CRC-0840,09/30/2026,Richland / Non-Profit Corporation,PO BOX 444,WHITE ROCK,SC,29177-0444,LUTHERAN HOMES OF SOUTH CAROLINA INC,Y,Y,,,132,,,,474592.19,3778088.144
Community Residential Care Facilities,11331,QUIET ACRES RETIREMENT HOME,2968 OLD DOUGLAS MILL RD,HODGES,SC,29653-8930,864-378-3848,"MULLINS, STEPHANIE",864-446-2264,JOYMULL4@CS.COM,JOYMULL4@CS.COM,CRC-0588,05/31/2026,Abbeville / Limited Liability,173 MAGGIE LN,ABBEVILLE,SC,29620,PROMISES KEPT CUSTOMER SERVICE LLC,N,N,,,10,,,,378341.798,3792640.21
Community Residential Care Facilities,11333,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA-COLUMBIA,700 DAVEGA DR,LEXINGTON,SC,29073-9698,803-796-8700,"HUGHES, MEREDITH",803-796-8700,MEREDITH.HUGHES@PRESCOMM.ORG,,CRC-0387,06/30/2026,Lexington / Non-Profit Corporation,700 DAVEGA DR,LEXINGTON,SC,29073-9698,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA,Y,Y,,,91,,,,488058.619,3764659.791
Community Residential Care Facilities,11335,TYLER RESTMORE HOME,1681 BROUGHTON ST,ORANGEBURG,SC,29115-4873,803-536-0740,"ANTLEY, MICHELLE L.",803-536-0740,MICHELLEANTLEY@ICLOUD.COM,MICHELLEANTLEY@ICLOUD.COM,CRC-0841,07/31/2026,Orangeburg / Ltd. Liability,1681 BROUGHTON ST,ORANGEBURG,SC,29115-4873,TYLER RESTMORE HOME LLC,N,N,,,10,,,,512001.246,3706110.559
Community Residential Care Facilities,11337,VILLAGE INN COMMUNITY CARE HOME,112 POWELL ST,GRANITEVILLE,SC,29829-2906,803-663-9495,"HERRON, MICHELLE A.",803-663-9495,VILLAGEINNCCH@BELLSOUTH.NET,HARMONYHOUSERCF@ATT.NET,CRC-0396,04/30/2026,Aiken / Sole Proprietorship,112 POWELL ST,GRANITEVILLE,SC,29829-2906,MICHELE A HERRON,N,N,,,10,,,,424427.422,3714278.417
Community Residential Care Facilities,11339,FLANAGAN COMMUNITY CARE HOME,665 SHARPE RD,COLUMBIA,SC,29203-9304,803-754-2136,MARY E BRIGGS,803-754-2136,MARYPBRIGGS@GMAIL.COM,MARYPBRIGGS1@GMAIL.COM,CRC-0314,09/30/2026,Richland / Sole Proprietorship,665 SHARPE RD,COLUMBIA,SC,29203-9304,MARY E BRIGGS,N,N,,,9,,,,499905.534,3772162.189
Community Residential Care Facilities,11340,ADDISON'S COMMUNITY CARE HOME,4013 PERCIVAL RD,COLUMBIA,SC,29229-8321,803-736-0455,"DOCTOR-GREENWADE, SARAH",803-736-0455,ADDISONCRCF@GMAIL.COM,SARDOCGWADE@UNIVERSALCARESOLUTIONS.COM,CRC-0815,05/31/2026,Richland / Corporation,PO BOX 23328,COLUMBIA,SC,29224-3328,ADDISON'S COMMUNITY CARE HOME INC,N,N,,,9,,,,512438.145,3771761.158
Community Residential Care Facilities,11341,WALTERS RESIDENTIAL CARE,821 DUKE AVE,COLUMBIA,SC,29203-5651,803-252-8918,"JOHNSON, DELORES W.",803-252-8918,WALTERS1987@BELLSOUTH.NET,WALTERS1987@BELLSOUTH.NET,CRC-0985,03/31/2026,Richland / Non-Profit Corporation,PO BOX 211263,COLUMBIA,SC,29221-6263,MIPD INC,N,N,,,35,,,,495946.43,3766670.041
Community Residential Care Facilities,11344,PINEDALE RESIDENTIAL CENTER,798 HERMITAGE POND RD,CAMDEN,SC,29020-9534,803-432-9900,"HUDSON, PHILLIP E.",803-432-9900,STEPHANIESHUDSON@OUTLOOK.COM,PHUDSON@PINEDALERESIDENTIAL.COM,CRC-0460,02/28/2026,Kershaw / Corporation,PO BOX 331,CAMDEN,SC,29021-0331,SHARECARE CORPORATION,N,N,,,50,,,,541772.732,3789133.474
Community Residential Care Facilities,11346,FAMILY RESIDENTIAL CARE HOME II,23 EDWARDS ST,SUMTER,SC,29150-4808,803-565-2132,"WALTERS, MICHAEL A.",803-775-9555,TWRG32@YAHOO.COM,TWRG32@YAHOO.COM,CRC-1277,05/31/2026,Sumter / Sole Proprietorship,19 EDWARDS ST,SUMTER,SC,29150,MICHAEL A WALTERS,N,N,,,5,,,,559807.924,3753347.77
Community Residential Care Facilities,11347,FOREST VIEW MANOR RETIREMENT CENTER,141 CALLISON HWY,MCCORMICK,SC,29835-3524,864-443-5857,"NIXON, LESLIE ANNETTE",864-443-5857,FORESTVIEWCONTACT@GMAIL.COM,,CRC-0500,11/30/2026,Edgefield / Corporation,141 CALLISON HWY,MCCORMICK,SC,29835-3524,HILLSIDE INC,Y,N,,,40,,,,396233.997,3755585.882
Community Residential Care Facilities,11348,EUGENIA'S RESIDENTIAL CARE FACILITY,2232 HEYWARD BROCKINGTON RD,COLUMBIA,SC,29203-9677,803-786-1047,"DAVIS-EARGLE, EUGENIA M.",803-786-1047,DCCHANDERCF.INFO@GMAIL.COM,EMARIEEARGLE@YAHOO.COM,CRC-0538,08/31/2026,Richland / Partnership,PO BOX 3273,COLUMBIA,SC,29230-3273,ELIJAH DAVIS THOMASENA DAVIS & EUGENIA M EARGLE,N,N,,,23,,,,494987.833,3776744.487
Community Residential Care Facilities,11349,BELL'S PROFESSIONAL RESIDENTIAL HOME CARE,1910 DALTON ST,NORTH CHARLESTON,SC,29406-3961,843-744-1765,"JACKSON, JACQUELYN",843-744-1765,BELLSRESIDENTIAL@GMAIL.COM,,CRC-1209,05/31/2026,Charleston / Ltd. Liability,1910 DALTON ST,NORTH CHARLESTON,SC,29406-3961,BELL'S PROFESSIONAL RESIDENTIAL HOME CARE LLC,N,N,,,20,,,,601534.646,3637843.206
Community Residential Care Facilities,11350,VILLAGE COMMUNITY CARE HOME-UNIT A,1250 SALEM CHURCH RD,ANDERSON,SC,29625-1310,864-225-4336,"WILLIAMS, PHYLLIS S.",864-225-4336,VILLAGECARE365@GMAIL.COM,VILLAGECARE365@GMAIL.COM,CRC-0563,01/31/2026,Anderson / Corporation,PO BOX 5107,ANDERSON,SC,29623-5107,VILLAGE COMMUNITY CARE HOME INC,N,N,,,11,,,,344553.116,3824436.68
Community Residential Care Facilities,11351,VILLAGE COMMUNITY CARE HOME-UNIT B,1250 SALEM CHURCH RD,ANDERSON,SC,29625-1310,864-225-4336,"WILLIAMS, PHYLLIS S.",864-225-4336,VILLAGECARE365@GMAIL.COM,VILLAGECARE365@GMAIL.COM,CRC-0564,01/31/2026,Anderson / Corporation,PO BOX 5107,ANDERSON,SC,29623-5107,VILLAGE COMMUNITY CARE HOME INC,N,N,,,11,,,,344553.116,3824436.68
Community Residential Care Facilities,11352,VILLAGE COMMUNITY CARE HOME-UNIT C,1250 SALEM CHURCH RD,ANDERSON,SC,29625-1310,864-225-4336,"WILLIAMS, PHYLLIS S.",864-225-4336,VILLAGECARE365@GMAIL.COM,VILLAGECARE365@GMAIL.COM,CRC-0565,01/31/2026,Anderson / Corporation,PO BOX 5107,ANDERSON,SC,29623-5107,VILLAGE COMMUNITY CARE HOME INC,N,N,,,11,,,,344553.116,3824436.68
Community Residential Care Facilities,11353,VILLAGE COMMUNITY CARE HOME-UNIT D,1250 SALEM CHURCH RD,ANDERSON,SC,29625-1310,864-225-4336,"WILLIAMS, PHYLLIS S.",864-225-4336,VILLAGECARE365@GMAIL.COM,VILLAGECARE365@GMAIL.COM,CRC-0566,01/31/2026,Anderson / Corporation,PO BOX 5107,ANDERSON,SC,29623-5107,VILLAGE COMMUNITY CARE HOME INC,N,N,,,11,,,,344553.116,3824436.68
Community Residential Care Facilities,11354,RILEY'S RESIDENTIAL CARE HOME,2327 BRIAN CHRISTOPHER RD,GREAT FALLS,SC,29055-8844,803-482-3290,"GOODE-RILEY, BEVERLY",803-482-3290,BPRILEY09@YAHOO.COM,BPRILEY09@YAHOO.COM,CRC-0900,10/31/2026,Chester / Sole Proprietorship,2327 BRIAN CHRISTOPHER RD,GREAT FALLS,SC,29055-8844,BEVERLY GOODE-RILEY,N,N,,,10,,,,506070.599,3828638.984
Community Residential Care Facilities,11358,WHITNEY PLACE,107 CORNWELL ST,UNION,SC,29379-2404,864-427-4275,"DAWKINS, TIFFANY Y.",803-792-5522,DAWKINST98@GMAIL.COM,,CRC-0572,02/28/2026,Union / Corporation,11 PARTRIDGE DR,GREENVILLE,SC,29609-6626,WHITNEY CORPORATION OF COLUMBIA INC,N,N,,,24,,,,443506.702,3841176.42
Community Residential Care Facilities,11360,WESTMINSTER TOWERS RESIDENTIAL,1330 INDIA HOOK RD,ROCK HILL,SC,29732-2412,803-328-5000,"BOSDELL, WILLIAM F., III.",803-328-5000,WBOSDELL@WESTMINSTERTOWERS.ORG,,CRC-0580,09/30/2026,York / Non-Profit Corporation,1330 INDIA HOOK RD,ROCK HILL,SC,29732-2412,WESTMINSTER PRESBYTERIAN CENTER INC,Y,N,,,57,,,,497358.254,3867808
Community Residential Care Facilities,11362,MARIA'S PRIORITY CARE RESIDENTIAL HOME I,3117 MEETING STREET RD,NORTH CHARLESTON,SC,29405-7980,843-554-0064,ROGERIA R PARANAL,843-554-0064,RRPARANAL@GMAIL.COM,RRPARANAL@GMAIL.COM,CRC-0937,07/31/2026,Charleston / Sole Proprietorship,3117 MEETING STREET RD,NORTH CHARLESTON,SC,29405-7980,ROGERIA R PARANAL,N,N,,,7,,,,596390.594,3635083.992
Community Residential Care Facilities,11365,GOOD SAMARITAN RESIDENTIAL CARE,1356 BUBZY RD,KINGSTREE,SC,29556-5246,843-382-3530,"SCOTT, MARY INEZ",,GSRFC1356@GMAIL.COM,,CRC-1015,05/31/2026,Williamsburg / Corporation,1356 BUBZY RD,KINGSTREE,SC,29556-5246,GOOD SAMARITAN RESIDENTIAL CARE FACILITY INC,N,N,,,12,,,,615859.667,3722148.977
Community Residential Care Facilities,11366,MIDWAY RESIDENTIAL CARE FACILITY #5,4026 MOORE DUNCAN HWY,MOORE,SC,29369-9721,864-433-8999,"WALKER, LINDA C.",864-433-8999,MIDWAYRESIDENTIALCARE@YAHOO.COM,MIDWAYRESIDENTIALCARE@YAHOO.COM,CRC-0616,12/31/2025,Spartanburg / Corporation,4026 MOORE DUNCAN HWY,MOORE,SC,29369-9721,MIDWAY RESIDENTIAL CARE FACILITY INC,N,N,,,12,,,,402750.228,3860842.788
Community Residential Care Facilities,11367,WRIGHT'S RESIDENTIAL CARE FACILITY 1,950 OLD SPARTANBURG HWY,WELLFORD,SC,29385,864-249-0412,"WRIGHT, DIANNE E.",864-497-5741,WRIGHTSCARE91@GMAIL.COM,WRIGHTSCARE91@GMAIL.COM,CRC-0617,01/31/2026,Spartanburg / Sole Proprietorship,PO BOX 268,WELLFORD,SC,29385-0268,DIANNE E WRIGHT,N,N,,,10,,,,398864.351,3867952.521
Community Residential Care Facilities,11369,GENERATIONS OF BATESBURG,111 GENERATIONS BLVD,BATESBURG,SC,29006-2315,803-532-8428,"NIX, HAMMIE R.",803-532-8428,HAMMIE@GENERATIONSOFBATESBURG.COM,HAMMIE@GENERATIONSOFBATESBURG.COM,CRC-0647,09/30/2026,Lexington / Corporation,431 E BOUNDARY ST,CHAPIN,SC,29036-8388,GENERATIONS OF BATESBURG INC,N,N,,,88,,,,450556.96,3751967.394
Community Residential Care Facilities,11370,WESLEYAN SUITES,2100 TWIN CHURCH RD,FLORENCE,SC,29501-8200,843-664-0700,"REICH, TERESSA L.",843-664-0700,TREICH@THEMANORSENIORLIVING.COM,TREICH@THEMANORSENIORLIVING.COM,CRC-0662,12/31/2025,Florence / Non-Profit Corporation,2100 TWIN CHURCH RD,FLORENCE,SC,29501-8200,UNITED METHODIST MANOR OF THE PEE DEE,Y,Y,,,95,,,,605098.991,3779544.633
Community Residential Care Facilities,11373,QUALITY CARE RESIDENTIAL HOME,107 ETLING AVE,GOOSE CREEK,SC,29445-3001,843-863-0209,"HITCHMAN, MARTINA E.",843-863-0209,BRUCE@JONESMGTREALTY.COM,MARTINA@QUALITYCAREOFSC.COM,CRC-0715,01/31/2026,Berkeley /,PO BOX 129,CHINA GROVE,NC,28023,QUALITY CARE RESIDENTIAL HOME SC LLC,N,N,,,29,,,,589437.672,3651655.656
Community Residential Care Facilities,11375,DREAMLAND RESIDENTIAL CARE,6941 NORTH RD,NORTH,SC,29112-8832,803-533-7492,"WRIGHT, DELORES M.",803-533-7492,DELORESWRIGHT4@AOL.COM,DELORESWRIGHT4@AOL.COM,CRC-0795,10/31/2026,Orangeburg / Sole Proprietorship,6941 NORTH RD,NORTH,SC,29112-8832,DELORES M WRIGHT,N,N,,,5,,,,499189.469,3718854.952
Community Residential Care Facilities,11376,LONGWOOD PLANTATION,1687 LONGWOOD DR,ORANGEBURG,SC,29118-2307,803-535-0250,"JOHNSON-STILL, JERRI",803-535-0250,JERRI.JOHNSON-STILL@LONGWOODPLANTATION.,JERRI.JOHNSON-STILL@LONGWOODPLANTATION,CRC-0797,10/31/2026,Orangeburg / Limited Liability,1687 LONGWOOD DR,ORANGEBURG,SC,29118-2307,LONGWOOD PLANTATION-FHE LLC,Y,Y,,,42,,,,512295.328,3709813.038
Community Residential Care Facilities,11377,MARIA'S PRIORITY CARE RESIDENTIAL HOME III,3115 MEETING STREET RD,NORTH CHARLESTON,SC,29405-7980,843-554-0064,ROGERIA R PARANAL,843-554-0064,RRPARANAL@GMAIL.COM,RRPARANAL@GMAIL.COM,CRC-0938,07/31/2026,Charleston /,3115 MEETING STREET RD,NORTH CHARLESTON,SC,29405-7980,ROGERIA R PARANAL,N,N,,,7,,,,596390.594,3635083.992
Community Residential Care Facilities,11379,BRIDGE ASSISTED LIVING AT LIFE CARE CENTER OF CHARLESTON,2590 ELMS PLANTATION BLVD,NORTH CHARLESTON,SC,29406-8105,843-553-6342,"DAUGHERTY, KATHERYN G.",,KATEDAUGHERTY19@GMAIL.COM,,CRC-1064,10/31/2026,Charleston / Ltd. Liability,2590 ELMS PLANTATION BLVD,NORTH CHARLESTON,SC,29406,CHARLESTON RETIREMENT INVESTORS LLC,N,N,,,100,,,,587735.378,3649584.684
Community Residential Care Facilities,11382,WESLEY COURT ASSISTED LIVING COMMUNITY,916 WESLEY CT,BOILING SPRINGS,SC,29316-5649,864-599-9929,"PAUL, KEITH ALDON",,WESLEYCOURT@TUTERA.COM,KEITH.PAUL@FUNDLTC.COM,CRC-1289,12/31/2025,Spartanburg / Limited Liability,916 WESLEY CT,BOILING SPRINGS,SC,29316-5649,WESLEY COURT ASSISTED LIVING FACILITY LLC,N,N,,,70,,,,411195.643,3878063.426
Community Residential Care Facilities,11384,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA-CLINTON,801 MUSGROVE ST,CLINTON,SC,29325-1796,864-833-5190,"HAWKINS, TAMIEKA",864-833-5190,TAMIEKA.HAWKINS@PRESCOMM.ORG,TAMIEKA.HAWKINS@PRESCOMM.ORG,CRC-0014,04/30/2026,Laurens / Non-Profit Corporation,801 MUSGROVE ST,CLINTON,SC,29325-1796,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA,Y,Y,,,43,,,,419663.418,3816289.152
Community Residential Care Facilities,11386,VANGUARD RESIDENTIAL SERVICES I,100 E HOSPITAL ST,MANNING,SC,29102-3158,803-435-2330,"WAY, JAMES RYAN",803-435-2330,RWAY@CCDSNB.ORG,RWAY@CCDSNB.ORG,CRC-1313,06/30/2026,Clarendon / Non-Profit Corporation,PO BOX 40,MANNING,SC,29102-0040,VANGUARD RESIDENTIAL SERVICES INC,N,N,,,8,,,,573378.905,3727786.804
Community Residential Care Facilities,11387,VANGUARD RESIDENTIAL SERVICES II,512 S CHURCH ST,MANNING,SC,29102-3122,803-435-2330,"CONYERS, STACEY EVETTE",803-435-2330,RWAY@CCDSNB.ORG,,CRC-1314,06/30/2026,Clarendon / Corporation,PO BOX 40,MANNING,SC,29102-0040,VANGUARD RESIDENTIAL SERVICES INC,N,N,,,8,,,,573301.679,3727670.295
Community Residential Care Facilities,11388,BROOKDALE EBENEZER ROAD,1920 EBENEZER RD,ROCK HILL,SC,29732-1014,803-366-1189,"JENKINS, HOWARD K.",,HJENKINS@BROOKDALE.COM,,CRC-1308,02/28/2026,York / Corporation,1920 EBENEZER RD,ROCK HILL,SC,29732-1014,BROOKDALE SENIOR LIVING COMMUNITIES INC,N,N,,,52,,,,495478.488,3868982.201
Community Residential Care Facilities,11389,SECESSIONVILLE COMMUNITY RESIDENCE,1217 SECESSIONVILLE RD,CHARLESTON,SC,29412-9749,843-795-1355,"COLEMAN, SHARON",,SCOLEMAN@DSNCC.COM,SCOLEMAN@DSNCC.COM,CRC-1287,12/31/2025,Charleston / State,PO BOX 22708,CHARLESTON,SC,29413-2708,DISABILITIES BOARD OF CHARLESTON COUNTY,N,N,,,8,,,,597773.687,3620958.461
Community Residential Care Facilities,11390,BROOKDALE NORTH AUGUSTA,105 N HILLS DR OFC,NORTH AUGUSTA,SC,29841-0113,803-819-0034,"ARANT, RONALD",803-819-0034,RARANT@BROOKDALE.COM,,CRC-1298,02/28/2026,Aiken / Corporation,105 N HILLS DR OFC,NORTH AUGUSTA,SC,29841-0113,BROOKDALE SENIOR LIVING COMMUNITIES INC,N,N,,,52,,,,409864.527,3708250.101
Community Residential Care Facilities,11391,QUILLEN MANOR,709 QUILLEN AVE,FOUNTAIN INN,SC,29644-9444,864-601-1440,"SCHAAF, HEIDI RENEE",864-414-1967,HSCHAAF@LIVE.COM,HSCHAAF@ENLIVANT.COM,CRC-1321,06/30/2026,Greenville / Limited Liability,709 QUILLEN AVE,FOUNTAIN INN,SC,29644-9444,QUILLEN MANOR LLC,Y,Y,,,78,,,,390057.155,3841321.935
Community Residential Care Facilities,11392,MEADOWLARK DRIVE COMMUNITY RESIDENTIAL CARE FACILITY,1183 MEADOWLARK DR,ROCK HILL,SC,29730,803-327-9770,"HART, LEETTA",,LEETTA.HART@MAXABILITIES.ORG,LEETTA.HART@MAXATILITIES.ORG,CRC-0881,08/31/2026,York / Non-Profit Corporation,PO BOX 549,YORK,SC,29745-0549,YORK COUNTY BOARD OF DISIBALITIES AND SPECIAL NEEDS,N,N,,,8,,,,492668.732,3867498.292
Community Residential Care Facilities,11393,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA-SUMMERVILLE,201 W 9TH NORTH ST,SUMMERVILLE,SC,29483-6721,843-873-2550,"KING, ELIZABETH",843-873-2550,ELIZABETH.KING@PRESCOMM.ORG,,CRC-0245,09/30/2026,Dorchester / Non-Profit Corporation,201 W 9TH NORTH ST OFC 140,SUMMERVILLE,SC,29483-6701,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA,Y,Y,,,114,,,,577537.351,3655293.479
Community Residential Care Facilities,11395,BRIANA'S RESIDENTIAL CARE FACILITY,252 CHARLESTON AVE N,FAIRFAX,SC,29827-4502,803-632-9813,"WALKER, SYMONE B.",803-632-9813,WALKER_SYMONE@YAHOO.COM,,CRC-1333,11/30/2025,Allendale / Sole Proprietorship,649 HAMPTON AVE N,FAIRFAX,SC,29827-4313,JOHN W WALKER,N,N,,,10,,,,478075.719,3646855.035
Community Residential Care Facilities,11398,BIRD STREET I COMMUNITY RESIDENTIAL CARE FACILITY,1705 BIRD ST,ROCK HILL,SC,29730-3830,803-366-7121,"CROUCH, KELLY M.",,KELLY.CROUCH2@MAXABILITIES.ORG,,CRC-1357,06/30/2026,York / State,PO BOX 549,YORK,SC,29745-0549,YORK COUNTY DISABILITIES AND SPECIAL NEEDS BOARD,N,N,,,8,,,,499899.163,3866840.676
Community Residential Care Facilities,11399,LEGACY OF NORTH MYRTLE BEACH,491 HWY 17,LITTLE RIVER,SC,29566-8082,843-399-5662,"FERENCE, LORI",843-903-8300,LORI.FERENCE@NAVIONSL.COM,LFERENCE@BRIGHTWATER-LIVING.COM,CRC-1360,06/30/2026,Horry / Corporation,"400 CENTRE ST, LICENSING DEPT",NEWTON,MA,02458-2094,SNH SE N MYRTLE BEACH TENANT LLC,Y,Y,,,80,,,,717407.969,3749711.668
Community Residential Care Facilities,11400,DIVINE MANOR ASSISTED LIVING CENTER,2210 OAK POND RD,ROCK HILL,SC,29730-7958,803-329-4494,"AFAM, DORIS O.",803-329-4494,DIVINEMANOR@COMPORIUM.NET,DIVINEMANOR@COMPORIUM.NET,CRC-1361,07/31/2026,York / Limited Liability,2210 OAK POND RD,ROCK HILL,SC,29730-7958,DIVINE NURSE CONSULTANT LLC,Y,N,,,32,,,,502710.078,3859873.197
