License/Exemption Number,Facility/Camp Name,Facility/Camp License Type,Facility Address,City,County,Phone,Zip Code,Capacity
AM220410046,Engman's Haven House,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"241 E. Breen Ave. ",Kingsford,DICKINSON,(906) 779-9030,49802,12
AS410419460,ENLIGHT AFC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"2256 STOWEVALLEY DR SE ",KENTWOOD,KENT,(616) 334-9782,49508,6
AS410419457,Enriched Living - Awixa,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1743 Awixa Ave NW ",Grand Rapids,KENT,(586) 295-1674,49544,6
AS410383295,Enriched Living - Highlander,ADULT SMALL GROUP HOME (CAPACITY 1-6),"242 Highlander Dr. NE ",Rockford,KENT,(616) 884-5117,49341,6
AS590406991,Enriched Living - Legion,ADULT SMALL GROUP HOME (CAPACITY 1-6),"344 Legion St ",Howard City,MONTCALM,(586) 295-1674,49329,6
AS410391964,Enriched Living - Maplerow,ADULT SMALL GROUP HOME (CAPACITY 1-6),"929 Maplerow Ave. NW ",Walker,KENT,(586) 295-1674,49534,6
AS410390303,Enriched Living - Richview,ADULT SMALL GROUP HOME (CAPACITY 1-6),"2006 Richview Ave NW ",Grand Rapids,KENT,(586) 295-1674,49534,6
AS390418237,Epic Home Care,ADULT SMALL GROUP HOME (CAPACITY 1-6),"716 Idaho Ave ",Portage,KALAMAZOO,(616) 528-0138,49024,4
AF150001344,Erber AFC,ADULT FAMILY HOME (CAPACITY 1-6),"04856 Kuzmick Road ",Elmira,CHARLEVOIX,(231) 549-2624,49730,6
AS390381707,Espanola House,ADULT SMALL GROUP HOME (CAPACITY 1-6),"422 Espanola Ave. ",Parchment,KALAMAZOO,(269) 998-3654,49004,6
AS630418131,Essence Memory Care LLC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"20800 E Chigwidden St ",Northville,OAKLAND,(248) 321-2430,48167,6
AL820007537,Eubanks Community Living,ADULT LARGE GROUP HOME (CAPACITY 13-20),"93 Adelaide ",Detroit,WAYNE,(313) 833-9141,48202,17
AS740013018,Eunice Hayes Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"4291 Peck Road ",Port Huron,ST. CLAIR,(810) 984-4083,48060,6
AF500409778,Eunice Home of Comfort,ADULT FAMILY HOME (CAPACITY 1-6),"21718 Eastwood Court ",Warren,MACOMB,(734) 341-8392,48089,4
AM190095524,Eureka House,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"7808 Freemont ",Eureka,CLINTON,(989) 224-0290,48833,12
AS500412498,Evanston,ADULT SMALL GROUP HOME (CAPACITY 1-6),"35161 Evanston ",Sterling Heights,MACOMB,(586) 698-2688,48312,6
AF030400477,Eva's AFC Home,ADULT FAMILY HOME (CAPACITY 1-6),"3151 136th Avenue ",Hamilton,ALLEGAN,(731) 792-5112,49419,6
AS720263278,Evergreen Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"110 Charlene Drive ",Roscommon,ROSCOMMON,(989) 821-8533,48653,6
AF410255092,Evergreen Meadow,ADULT FAMILY HOME (CAPACITY 1-6),"1944 Buttrick Avenue, SE ",Ada,KENT,(616) 682-0848,49301,6
AS390418303,Evergreen Site,ADULT SMALL GROUP HOME (CAPACITY 1-6),"6710 Evergreen St. ",Portage,KALAMAZOO,(269) 270-3073,49024,4
AL540398499,Evergreen Terrace Assisted Living,ADULT LARGE GROUP HOME (CAPACITY 13-20),"801 Fuller ",Big Rapids,MECOSTA,(231) 527-1050,49307,20
AM500402137,Evergreen Villas,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"205 Washington Street ",Mt. Clemens,MACOMB,(248) 854-8527,48043,12
AS630373446,Exclusive Home Care for the Aged,ADULT SMALL GROUP HOME (CAPACITY 1-6),"22215 N. Brandon Street ",Farmington Hills,OAKLAND,(734) 355-5622,48336,4
AL130411643,Extended Care At Fremont,ADULT LARGE GROUP HOME (CAPACITY 13-20),"54 Fremont St. ",Battle Creek,CALHOUN,(419) 494-4008,49017,20
AL410417948,Extended Care At Ramsdell,ADULT LARGE GROUP HOME (CAPACITY 13-20),"12471 Ramsdell Dr. NE ",Rockford,KENT,(419) 494-4008,49504,20
AS630416135,F I C Housing,ADULT SMALL GROUP HOME (CAPACITY 1-6),"350 Nawakwa Rd ",Rochester Hills,OAKLAND,(248) 470-3559,48307,3
AS630391506,F I C Housing 2,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1527 John R Rd ",Rochester Hills,OAKLAND,(248) 470-3559,48307,6
AM610009197,Fa-Ho-Lo Family,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"1585 S. Wolf Lake Road ",Muskegon,MUSKEGON,(231) 788-1806,49442-4881,8
AS390307863,Fair Oaks,ADULT SMALL GROUP HOME (CAPACITY 1-6),"3312 Fair Oaks Drive ",Kalamazoo,KALAMAZOO,(269) 382-6230,49008,6
AS500251970,Fairfield,ADULT SMALL GROUP HOME (CAPACITY 1-6),"30183 Fairfield ",Chesterfield,MACOMB,(517) 256-2939,48051-1799,6
AS630293005,Fairlane Assisted Living of Bloomfield,ADULT SMALL GROUP HOME (CAPACITY 1-6),"4085 Fairlane ",Bloomfield,OAKLAND,(248) 202-4900,48301,6
AH630407346,Fairmont Senior Living of Farmington Hills,HOMES FOR THE AGED,"29681 Middlebelt Road ",Farmington Hills,OAKLAND,(248) 538-9200,48334,75
AH820408530,Fairmont Senior Living of Northville,HOMES FOR THE AGED,"15870 N Haggerty Rd ",Plymouth,WAYNE,(734) 420-7917,48170,120
AF700337051,Fairview AFC,ADULT FAMILY HOME (CAPACITY 1-6),"9578  Deerway Ct. ",Allendale,OTTAWA,(616) 895-6842,49401,6
AL230256414,Fairview AFC,ADULT LARGE GROUP HOME (CAPACITY 13-20),"11656 S. Hartel Road ",Grand Ledge,EATON,(517) 622-1009,48837,20
AI580000005,Fairview County Infirmary,ADULT COUNTY INFIRMARY,"3604 S. Custer Road ",Monroe,MONROE,(734) 240-3190,48161,36
AH230360690,Fairview Grand,HOMES FOR THE AGED,"11656 Hartel Road ",Grand Ledge,EATON,(517) 622-1009,48837,35
AS140316691,Fairview Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"703 Fairview ",Dowagiac,CASS,(269) 782-2445,49047,6
AF700408004,Faith Care,ADULT FAMILY HOME (CAPACITY 1-6),"3538 144th Ave. ",Holland,OTTAWA,(616) 994-2260,49424,6
AS820277040,Faith Family & Determination,ADULT SMALL GROUP HOME (CAPACITY 1-6),"4159 Algonquin Street ",Detroit,WAYNE,(313) 521-3513,48215,3
AS330418977,Faith Family Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"5228 South Washington Ave ",Lansing,INGHAM,(517) 420-0653,48911,5
AS410418647,FAITH HAVEN ADULT FOSTER CARE HOME,ADULT SMALL GROUP HOME (CAPACITY 1-6),"72 RICHARDS AVE NW ",GRAND RAPIDS,KENT,(313) 310-2632,49504,5
AS410309175,Faith House,ADULT SMALL GROUP HOME (CAPACITY 1-6),"340 Thornridge Dr. NW ",Grand Rapids,KENT,(231) 288-5697,49504,6
AS630307603,Faith House In Motion,ADULT SMALL GROUP HOME (CAPACITY 1-6),"93 Whittemore ",Pontiac,OAKLAND,(248) 454-1773,48342,6
AF130419008,FaithDracut LLC,ADULT FAMILY HOME (CAPACITY 1-6),"168 20th Street N ",BattleCreek,CALHOUN,(978) 726-4575,49015,6
AS820410681,Faithful Helpers,ADULT SMALL GROUP HOME (CAPACITY 1-6),"8210 Coyle St ",Detroit,WAYNE,(313) 551-4563,48228,4
AS820249056,Fallow Court Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"7983 Fallow Court ",Romulus,WAYNE,(734) 326-8622,48184,6
AS610385533,Families Manor,ADULT SMALL GROUP HOME (CAPACITY 1-6),"2330 Riverwood Dr. ",Twin Lake,MUSKEGON,(231) 206-0358,49457,6
AS630400562,Family 1st (Sunnypoint),ADULT SMALL GROUP HOME (CAPACITY 1-6),"24340 Sunnypoint Dr. ",Southfield,OAKLAND,(248) 470-2663,48033,5
AF110413907,Family Care Of Berrien Springs,ADULT FAMILY HOME (CAPACITY 1-6),"8729 Kephart Lane ",Berrien Springs,BERRIEN,(269) 362-4997,49103,6
AF500313046,Family Home and Senior Living,ADULT FAMILY HOME (CAPACITY 1-6),"43090 Pointe Drive ",Clinton Township,MACOMB,(586) 203-8164,48038,5
AF390254614,"Family Living AFC, Inc.",ADULT FAMILY HOME (CAPACITY 1-6),"6254 N. 37th Street ",Richland,KALAMAZOO,(269) 731-4025,49083,6
AS250010767,Family Support Group Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"G-3445 Mackin Road ",Flint,GENESEE,(810) 732-9160,48504,6
AS820083899,Family Tyes AFC Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"6017 Hillcrest ",Detroit,WAYNE,(313) 884-4638,48236,6
AS820077160,Family Tyes III,ADULT SMALL GROUP HOME (CAPACITY 1-6),"7640 Dexter ",Detroit,WAYNE,(313) 895-0906,48206,6
AS820093202,Family Tyes IV,ADULT SMALL GROUP HOME (CAPACITY 1-6),"7712 Dexter ",Detroit,WAYNE,(313) 790-4032,48206,6
AS820419121,Family Tyes VII,ADULT SMALL GROUP HOME (CAPACITY 1-6),"7642 Dexter ",Detroit,WAYNE,(313) 938-2551,48206,5
AS820069454,Fargo Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"19974 Merriman ",Livonia,WAYNE,(248) 426-7099,48152,5
AS130317431,Farleigh's Senior Care Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"355-359 Morgan Road ",Battle Creek,CALHOUN,(269) 339-3297,49037,6
AF470401833,Farley Adult Foster Care,ADULT FAMILY HOME (CAPACITY 1-6),"9040 Farley Road ",Pinckney,LIVINGSTON,(734) 648-0628,48169,6
AF500418142,Farm House Family Home,ADULT FAMILY HOME (CAPACITY 1-6),"64220 Lowe Plank Rd. ",Lenox Twp.,MACOMB,(586) 242-5357,48050,4
AH630236784,Farmington Hills Inn,HOMES FOR THE AGED,"30350 W. Twelve Mile Road ",Farmington Hills,OAKLAND,(248) 851-9640,48334,137
AF740005607,Farquhar Afc,ADULT FAMILY HOME (CAPACITY 1-6),"4909 Lapeer Road ",Kimball,ST. CLAIR,(810) 982-0412,48074,3
AM410245599,"Farragut Home Care, L.C.C",ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"1839 Farragut Street, SW ",Wyoming,KENT,(616) 531-5803,49519-1734,12
AS390317402,Farrell,ADULT SMALL GROUP HOME (CAPACITY 1-6),"805 Farrell ",Kalamazoo,KALAMAZOO,(269) 372-5932,49006,6
AS500407913,Faustina Senior Care,ADULT SMALL GROUP HOME (CAPACITY 1-6),"13431 E 12 Mile Road ",Warren,MACOMB,(586) 222-5374,48088,6
AS410418180,Favor House LLC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"4958 Fuller Ave SE ",Kentwood,KENT,(616) 717-2899,49508,6
AS410418672,Favor House LLC Andover Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"415 Andover St. SE ",Kentwood,KENT,(616) 717-2899,49548,5
AS190414296,Fawn Circle,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1920 Deerwood Circle A ",Lansing,CLINTON,(517) 394-1234,48820,6
AF410395546,Fayette's Home,ADULT FAMILY HOME (CAPACITY 1-6),"10893 Deerwood Dr. ",Lowell,KENT,(616) 755-0974,49331,6
AM470078613,Fenton Assisted Living,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"6077 Linden ",Fenton,LIVINGSTON,(810) 629-1131,48430,12
AS820397466,Fenton II,ADULT SMALL GROUP HOME (CAPACITY 1-6),"8273 Fenton St ",Dearborn Heights,WAYNE,(248) 477-5209,48127,6
AM250402508,Fenton North,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),Suite 1 17600 Silver Parkway,Fenton,GENESEE,(810) 877-6932,48430,10
AM250402509,Fenton South,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),Suite 2 17600 Silver Parkway,Fenton,GENESEE,(810) 877-6932,48430,10
AF590419108,Fern Hill,ADULT FAMILY HOME (CAPACITY 1-6),None 7363 Edgar Road,Lakeview,MONTCALM,(989) 287-4723,48850,3
AS700252511,Ferris Street Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"17189 Ferris Street ",Grand Haven,OTTAWA,(616) 850-0449,49417,6
AS090388270,FIELD HOME II,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1415 E. SMITH ST. ",BAY CITY,BAY,(989) 892-6714,48706,6
AF590286071,Field of Dreams AFC,ADULT FAMILY HOME (CAPACITY 1-6),"5603 N. Greenville Road ",Lakeview,MONTCALM,(989) 287-4862,48850,5
AF700088294,Fireside AFC,ADULT FAMILY HOME (CAPACITY 1-6),"389 Lakeshore Drive ",Holland,OTTAWA,(616) 994-7020,49424,5
AC090200545,Fish Tales AFC,ADULT CAMP,,Pinconning,BAY,(989) 879-5199,48650,60
AS090068464,Fisher Road CLF,ADULT SMALL GROUP HOME (CAPACITY 1-6),"2918 Fisher Road ",Bay City,BAY,(989) 684-1272,48706,6
AF620344469,Fishers AFC,ADULT FAMILY HOME (CAPACITY 1-6),"9959 S. Thornapple Avenue ",Grant,NEWAYGO,(231) 834-0349,49327,3
AS820389327,Fitzgerald,ADULT SMALL GROUP HOME (CAPACITY 1-6),"16975 Fitzgerald ",Livonia,WAYNE,(734) 591-1261,48154,4
AS090407731,Fitzhugh House,ADULT SMALL GROUP HOME (CAPACITY 1-6),"316 Fitzhugh ST ",Bay City,BAY,(989) 482-6927,48708,6
AS820295443,Five C's Manor,ADULT SMALL GROUP HOME (CAPACITY 1-6),"24476 Schoolcraft ",Redford,WAYNE,(313) 408-3227,48239,6
AF440418117,Five Lakes Family Home Afc,ADULT FAMILY HOME (CAPACITY 1-6),"2933 Kings Mill Rd ",Lapeer,LAPEER,(810) 667-0019,48446,3
AS820266080,Flanders,ADULT SMALL GROUP HOME (CAPACITY 1-6),"15205 Flanders ",Southgate,WAYNE,(734) 285-4810,48195,6
AH630236785,Fleischman Residence,HOMES FOR THE AGED,"6710 West Maple Road ",West Bloomfield,OAKLAND,(248) 661-2999,48322,116
AS250298369,Fletcher AFC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"3209 Old Farm Road ",Flint Twp,GENESEE,(810) 820-2258,48507,5
AM250388519,Flint Township North,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"2360 Stonebridge Drive ",Flint,GENESEE,(810) 877-6932,48532,12
AS250408011,Flint Township South,ADULT SMALL GROUP HOME (CAPACITY 1-6),Ste B 2360 Stonebridge Dr,Flint,GENESEE,(810) 877-6932,48532,6
AS820014194,Floral - Elmira AFC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"18110 Floral ",Livonia,WAYNE,(734) 422-2238,48152,6
AF630080656,Florence CTH,ADULT FAMILY HOME (CAPACITY 1-6),"23021 Radclift ",Oak Park,OAKLAND,(248) 967-1178,48237,3
AS820418915,Florence Haven,ADULT SMALL GROUP HOME (CAPACITY 1-6),"16035 Allen Rd. ",Southgate,WAYNE,(734) 258-8073,48195,5
AS820293701,Florence Manor,ADULT SMALL GROUP HOME (CAPACITY 1-6),"30834 Florence St. ",Garden City,WAYNE,(734) 422-2233,48135,6
AH630396969,Flourish Collection at Oakland Charter Twp,HOMES FOR THE AGED,"3215 Silverbell Rd. ",Oakland Twp,OAKLAND,(248) 601-0505,48306,56
AL630389144,Flourish Collection at Rochester,ADULT LARGE GROUP HOME (CAPACITY 13-20),"3145 Lily Trail ",Oakland,OAKLAND,(248) 759-8500,48306,20
AM250388518,Flushing,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"7012 River Road ",Flushing,GENESEE,(810) 877-6932,48433,11
AS820345485,Fogle Family Group Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"364 Pilgrim ",Highland Park,WAYNE,(313) 586-2060,48203,4
AS500011903,Forbes Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"48402 Forbes ",New Baltimore,MACOMB,(586) 949-1771,48047,6
AS820416786,FORD,ADULT SMALL GROUP HOME (CAPACITY 1-6),"2441 Ford St ",Detroit,WAYNE,(313) 826-0657,48238,6
AS210083129,Ford River Als,ADULT SMALL GROUP HOME (CAPACITY 1-6),"E-4980 M-35 ",Escanaba,DELTA,(906) 789-2006,49829,6
AS250414536,Ford Specialty Care Services,ADULT SMALL GROUP HOME (CAPACITY 1-6),"5079 Spinning Wheel Dr. ",Grand Blanc,GENESEE,(810) 210-7286,48439,6
AS820264625,Ford Street Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"2308 Ford Street ",Detroit,WAYNE,(734) 254-0092,48238,6
AF440310706,Forest Edge Family Home,ADULT FAMILY HOME (CAPACITY 1-6),"4711 Spring Street ",Hadley,LAPEER,(810) 797-2727,48440,6
AS820350079,Forest Estate Senior Residence,ADULT SMALL GROUP HOME (CAPACITY 1-6),"20487 Coachwood ",Riverview,WAYNE,(734) 225-6145,48193,6
AL140419537,Forest Glen Assisted Living,ADULT LARGE GROUP HOME (CAPACITY 13-20),"29601 Amerihost Drive ",Dowagiac,CASS,(269) 782-5300,49047,20
AS410277778,Forest Hill,ADULT SMALL GROUP HOME (CAPACITY 1-6),"311 Forest Hill Avenue SE ",Grand Rapids,KENT,(616) 949-3552,49546-2337,6
AS610381457,Forest Trail,ADULT SMALL GROUP HOME (CAPACITY 1-6),"3088 S. Hilton Park Rd. ",Fruitport,MUSKEGON,(231) 788-0700,49415,4
AS820354772,Forever Care Homes,ADULT SMALL GROUP HOME (CAPACITY 1-6),"4004 Lovett Court ",Inkster,WAYNE,(734) 589-8770,48141,5
AS820382522,Forever Care Homes II,ADULT SMALL GROUP HOME (CAPACITY 1-6),"4067 Farnum ",Inkster,WAYNE,(248) 914-8951,48141,6
AS820393375,Forever Care Homes III,ADULT SMALL GROUP HOME (CAPACITY 1-6),"14465 Buck St. ",Taylor,WAYNE,(734) 632-4131,48180,6
AS820390561,Forever Young Living LLC.,ADULT SMALL GROUP HOME (CAPACITY 1-6),"37011 Bennett ",Livonia,WAYNE,(734) 673-7945,48152,6
AS440242673,Forget Me Not AFC Home Inc,ADULT SMALL GROUP HOME (CAPACITY 1-6),"4042 Pleasant Street ",North Branch,LAPEER,(810) 688-3325,48461,6
AM820010011,Forrest Haven East,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"867 E Grand Boulevard ",Detroit,WAYNE,(313) 922-6006,48207,12
AS450339122,Fort Road Residence,ADULT SMALL GROUP HOME (CAPACITY 1-6),"4470 S. Forthill Drive ",Suttons Bay,LEELANAU,(231) 271-6038,49682,6
AS630067389,Foster,ADULT SMALL GROUP HOME (CAPACITY 1-6),"8531 Foster Road ",Clarkston,OAKLAND,(248) 795-2174,48346,6
AL410375721,Fountain View of Lowell North,ADULT LARGE GROUP HOME (CAPACITY 13-20),"11537 E. Fulton ",Lowell,KENT,(616) 897-8413,49331,20
AL410375718,Fountain View of Lowell South,ADULT LARGE GROUP HOME (CAPACITY 13-20),"11537 E. Fulton ",Lowell,KENT,(616) 897-8413,49331,20
AL390016015,Fountain View Ret Vil 0f Port #2,ADULT LARGE GROUP HOME (CAPACITY 13-20),"7818 Kenmure Drive ",Portage,KALAMAZOO,(269) 327-9595,49024,20
AL390007092,Fountain View Ret Vil of Port #1,ADULT LARGE GROUP HOME (CAPACITY 13-20),"7818 Kenmure Drive ",Portage,KALAMAZOO,(269) 327-9595,49024,20
AH620236786,Fountain View Retirement Village Grant,HOMES FOR THE AGED,"50 S Maple Street ",Grant,NEWAYGO,(231) 834-8202,49327,38
AL620007296,Fountainview Ret Vil Fremont I,ADULT LARGE GROUP HOME (CAPACITY 13-20),"102 Hillcrest Avenue ",Fremont,NEWAYGO,(231) 924-5050,49412,20
AS340400717,Four Seasons Adult Assisted Living,ADULT SMALL GROUP HOME (CAPACITY 1-6),"7555 Knox Road ",Portland,IONIA,(517) 526-1195,48875,6
AC790200832,Fowler AFC,ADULT CAMP,,Mayville,TUSCOLA,,48744,104
AS500012006,Fox Hill Group Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"37875 Ryan Road ",Sterling Heights,MACOMB,(586) 268-2109,48310,3
AS630271172,Foxmoor Lane,ADULT SMALL GROUP HOME (CAPACITY 1-6),"28510 Lorraine ",Farmington Hills,OAKLAND,(248) 476-8139,48336,5
AL810007467,Fr Guanella Hall,ADULT LARGE GROUP HOME (CAPACITY 13-20),"16195 Old US-12 ",Chelsea,WASHTENAW,(734) 475-8430,48118,20
AF250001792,Frances McKay AFC Home,ADULT FAMILY HOME (CAPACITY 1-6),"7092 Johnson Road ",Flushing,GENESEE,(810) 659-1250,48433,6
AM250411036,Frances Specialized Residential,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"2304 W. Frances Rd. ",Mt. Morris,GENESEE,(810) 720-6424,48458,12
AS410261725,Francis Ave. AFC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"2101 Francis Avenue, SE ",Grand Rapids,KENT,(616) 475-9603,49507-3016,6
AS820376720,Franfin Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"6201 Edmund Street ",Romulus,WAYNE,(313) 522-9587,48174,6
AM100237317,Frankfort Senior Care,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"216 W. Cox Road ",Frankfort,BENZIE,(231) 651-9690,49635,12
AS630418559,Frazer Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"21358 Frazer Ave. ",Southfield,OAKLAND,(248) 796-9256,48075,5
AS820367743,Frazier Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"456 Frazier Street ",River Rouge,WAYNE,(313) 438-6302,48218,5
AL630279364,Freedom Haven,ADULT LARGE GROUP HOME (CAPACITY 13-20),"700-738 Wanda ",Ferndale,OAKLAND,(248) 548-3607,48220,20
AM410008735,Freedom House,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"6700 Adrian Avenue, SE ",Grand Rapids,KENT,(616) 281-6323,49548-6936,12
AS410408650,Freedom House,ADULT SMALL GROUP HOME (CAPACITY 1-6),"160 68th St. SE ",Grand Rapids,KENT,(616) 455-5000,49548,6
AS820315575,Freedom Residence,ADULT SMALL GROUP HOME (CAPACITY 1-6),"15980 Oak Drive ",Livonia,WAYNE,(734) 744-5441,48154-3448,5
AH700373745,Freedom Village Holland Assisted Living,HOMES FOR THE AGED,Ste. 2 145 Columbia Ave.,Holland,OTTAWA,(616) 820-7600,49423,35
AS630299534,Frenkel AFC Home I,ADULT SMALL GROUP HOME (CAPACITY 1-6),"184 Whittemore ",Pontiac,OAKLAND,(248) 981-7646,48342,6
AS820283748,Fresh Start Transitional Homes,ADULT SMALL GROUP HOME (CAPACITY 1-6),"17839 Goddard ",Detroit,WAYNE,(313) 281-6208,48212,4
AS820283747,Fresh Start Transitional Homes,ADULT SMALL GROUP HOME (CAPACITY 1-6),"95 Winona ",Highland Park,WAYNE,(313) 850-9220,48203,5
AS500292912,Fresh Start Transitional Homes III,ADULT SMALL GROUP HOME (CAPACITY 1-6),"21795 Nevada ",Eastpointe,MACOMB,(586) 362-8242,48021,5
AS820292911,Fresh Start Transitional Homes-Bibbins,ADULT SMALL GROUP HOME (CAPACITY 1-6),"35413 Bibbins ",Romulus,WAYNE,(313) 850-9220,48174,5
AF560085646,Friendly Acres,ADULT FAMILY HOME (CAPACITY 1-6),"5710 NE County Line ",Coleman,MIDLAND,(989) 465-1580,48618,6
AS570012124,Friendship Family Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"215 Hughston ",McBain,MISSAUKEE,(231) 825-2042,49657,6
AL110306606,Fullerton House,ADULT LARGE GROUP HOME (CAPACITY 13-20),"3905 Lorrain Path ",St. Joseph,BERRIEN,(269) 363-1906,49085,20
AS500064412,Fulton AIS Group Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"22892 Prospect ",Armada,MACOMB,(586) 372-7099,48005,6
AL700070219,FV Ret Vill Of Coopersville #1,ADULT LARGE GROUP HOME (CAPACITY 13-20),"620 W Randall Street ",Coopersville,OTTAWA,(616) 997-9253,49404,20
AL700070220,FV Ret Vill Of Coopersville #2,ADULT LARGE GROUP HOME (CAPACITY 13-20),"640 W Randall Street ",Coopersville,OTTAWA,(616) 997-9253,49404,20
AL700088278,FV Ret Vill Of Coopersville #3,ADULT LARGE GROUP HOME (CAPACITY 13-20),"660 West Randall Street ",Coopersville,OTTAWA,(616) 997-9253,49404,18
AS820419705,G & G Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"8710 W Davison ",Detroit,WAYNE,(313) 516-1660,48238,3
AS820281664,Gabriel's Nest AFC Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"8340 W. Outer Drive ",Detroit,WAYNE,(313) 387-4037,48219,5
AS820286839,Gabriel's Nest III Inc.,ADULT SMALL GROUP HOME (CAPACITY 1-6),"20525 Lauder ",Detroit,WAYNE,(313) 341-2072,48235,6
AS120359238,Gail Ann Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"123 Gail Ann Drive ",Coldwater,BRANCH,(517) 278-8290,49036,6
AS500371062,Gainsborough,ADULT SMALL GROUP HOME (CAPACITY 1-6),"15780 17 Mile Road ",Clinton Township,MACOMB,(586) 231-0363,48038,6
AF040252529,Gallaghers AFC,ADULT FAMILY HOME (CAPACITY 1-6),"10393 W. Long Lake Road ",Alpena,ALPENA,(989) 595-6540,49707,6
AS500015839,Garbor Group Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"27630 Ryan Road ",Warren,MACOMB,(586) 731-9800,48091,6
AL820007566,Garden City Opportunity Manor,ADULT LARGE GROUP HOME (CAPACITY 13-20),"6337 Central ",Garden City,WAYNE,(734) 425-0203,48135,15
AS440415208,Garden Cove,ADULT SMALL GROUP HOME (CAPACITY 1-6),"3578 Garden Drive ",Lapeer,LAPEER,(810) 600-2717,48446,6
AF380077498,Garden Estates,ADULT FAMILY HOME (CAPACITY 1-6),"3140 Shirley Drive ",Jackson,JACKSON,(517) 841-1750,49201,6
AH310301010,Gardenview,HOMES FOR THE AGED,"26096 Elm St. ",Calumet,HOUGHTON,(906) 337-0800,49913,61
AS410380718,Gardner,ADULT SMALL GROUP HOME (CAPACITY 1-6),"253 Gardner ",Sparta,KENT,(616) 383-1046,49345,6
AS820418079,Gardner Property Management,ADULT SMALL GROUP HOME (CAPACITY 1-6),"20013 Vaughan ",Detroit,WAYNE,(248) 885-9016,48219,3
AS610419191,Garfield Cove,ADULT SMALL GROUP HOME (CAPACITY 1-6),"173 E. Mt. Garfield Rd ",Muskegon,MUSKEGON,(231) 638-1827,49441,6
AS820416532,Garfield Group Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"19272 Garfield ",Redford,WAYNE,(313) 740-7024,48240,5
AS820369788,Garfield House,ADULT SMALL GROUP HOME (CAPACITY 1-6),"14175 Garfield ",Redford,WAYNE,(313) 766-4281,48239,6
AS630064520,Garretson CLF,ADULT SMALL GROUP HOME (CAPACITY 1-6),"5515 Garretson ",Oxford,OAKLAND,(248) 875-4033,48371,4
AH460361737,Gaslight Village Assisted,HOMES FOR THE AGED,"2625 N. Adrian Highway ",Adrian,LENAWEE,(517) 264-2284,49221,51
AS740248863,Gates AFC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"400 Burns Road ",Kimball,ST. CLAIR,(810) 367-8079,48074,6
AS290261139,Gateway,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1115 Woodmere ",Alma,GRATIOT,(989) 463-2251,48801,6
AS820086608,Gateway Residents,ADULT SMALL GROUP HOME (CAPACITY 1-6),"15632 Susan ",Southgate,WAYNE,(734) 284-7654,48195,6
