OBJECTID,Name of Facility,Location Street,Location City,Location State,ZIP Code,Facility #,Admin Name & Phone,Facility Email,Fac. Cont. Email,License / Expiration,County / Ownership Type,Mailing Address,Mailing City,Mailing State,Mailing ZIP,Licensee,x,y
13139,NOLAN ADULT DAY CARE,30 ORCHARD PARK DR UNIT 14,GREENVILLE,SC,29615,864-263-7945, PH#: ,NOLANHOMECARE@YAHOO.COM,,ADC-0487 / 11/30/2026,Greenville / Corporation,,,,,NOLAN ADULT DAY CARE INC,378019.877,3857829.784
13164,NORA S CARING COMPANIONS ADULT DAY CARE CENTER,460 HWY 9 W,BENNETTSVILLE,SC,29512-3111,843-544-3511,"JENKINS, NORA L. PH#: 843-679-7089",NORASCARINGCOMPANIONS@GMAIL.COM,8436797089@CHARTER.NET,ADC-0490 / 12/31/2026,Marlboro / ,,,,,NORA'S CARING COMPANIONS ADULT DAY CARE CENTER LLC,618585.522,3834346.098
13170,ELITE DAY CENTER OF LORIS,3701 MAIN ST,LORIS,SC,29569-2901,843-716-2425,"HORVATH, TRACY PH#: 843-716-2425",ANDREW.MARTIN@ELITEHOMECARESC.COM,DONNAVCOLON@ICLOUD.COM,ADC-0492 / 01/31/2026,Horry / ,,,,,ELITE HOMECARE LLC,694409.549,3770576.139
13171,ELITE DAY CENTER OF CONWAY,3320 4TH AVE STE G,CONWAY,SC,29527,843-488-2273,"JOHNSON, KAREN PH#: 843-488-2273",DONNAVCOLON@ICLOUD.COM,,ADC-0493 / 01/31/2026,Horry / ,,,,,ELITE HOMECARE LLC,677795.922,3743380.655
13185,ELITE DAY CENTER OF GEORGETOWN,2902 HIGHMARKET ST,GEORGETOWN,SC,29440,864-869-8730, PH#: ,ANDREW.MARTIN@ELITEHOMECARESC.COM,,ADC-0494 / 06/30/2026,Georgetown / Limited Liability,,,,,ELITE HOMECARE LLC,657110.126,3695338.486
13226,ACTIVE DAY OF FLORENCE,2111 W JODY RD,FLORENCE,SC,29501-2031,843-629-0103,"JOHNSON, JULIA PH#: 843-629-0103",JJOHNSON@ACTIVEDAY.COM,,ADC-0500 / 04/30/2026,Florence / Corporation,,,,,ACTIVE SC ONE INC,609975.628,3784739.259
13231,ELITE DAY CENTER OF GREENWOOD,615 S MAIN ST,GREENWOOD,SC,29646,864-938-6600,"BOLDING, JENNIFER PH#: 864-938-6600",ANDREW.MARTIN@ELITEHOMECARESC.COM,JBOLDING@UPTOWNSENIOR.COM,ADC-0484 / 05/31/2026,Greenwood / Limited Liability,,,,,ELITE HOMECARE LLC,393164.4,3783545.17
13276,TUCKERS ADULT HEALTH DAY CARE,112 CARN ST,WALTERBORO,SC,29488-3923,843-542-5186, PH#: ,TUCKERSADULTDAYCARE@GMAIL.COM,,ADC-0504 / 11/30/2026,Colleton / Ltd. Liability,,,,,OLANIYAN LLC,531200.373,3640297.687
13289,ELITE DAY CENTER OF COLUMBIA,1325 GARNER LN,COLUMBIA,SC,29210,803-233-4697, PH#: ,ADMINISTRATOR.COLUMBIA@ELITEHOMECARESC.,,ADC-0505 / 07/31/2026,Richland / ,,,,,ELITE HOMECARE LLC,491721.294,3766633.785
13291,ACTIVE DAY OF CAYCE,1111 STATE ST,WEST COLUMBIA,SC,29033,803-796-5192,"ROBERSON, CAROL PH#: 803-796-5192",SCADMIN@ACTIVEDAY.COM,,ADC-0506 / 10/31/2026,Lexington / Corporation,,,,,ACTIVE SC ONE INC,494877.554,3760356.13
13293,HOPEBRIDGE OAKS OF ACTIVE DAY,3532 LEAPHART RD,WEST COLUMBIA,SC,29169,803-791-3256,"CHAVIS, ANGELA PH#: 803-791-3256",SCADMIN@ACTIVEDAY.COM,ANGIE@HOPEBRIDGEATTHEOAKS.COM,ADC-0507 / 10/31/2026,Lexington / Corporation,,,,,ACTIVE SC ONE INC,487647.784,3762591.996
13301,HOPEBRIDGE HOLLIES OF ACTIVE DAY,2708 HEBRON DR,WEST COLUMBIA,SC,29169-3012,803-791-3255,"GREEN, CARLIE PH#: 803-791-3256",SCADMIN@ACTIVEDAY.COM,,ADC-0508 / 10/31/2026,Lexington / Corporation,,,,,ACTIVE SC ONE INC,488447.675,3762727.813
13336,ELITE DAY CENTER OF FLORENCE,2120 ENTERPRISE DR,FLORENCE,SC,29501-1104,843-278-9117,"WHITE, CARLA PH#: 864-641-7834",CARLA.WHITE@ELITEHOMECARESC.COM,,ADC-0509 / 01/31/2027,Florence / Limited Liability,,,,,ELITE HOME CARE LLC,610510.397,3789363.597
13339,ELITE DAY CENTER OF DARLINGTON,212 ASBURY ST,DARLINGTON,SC,29532-1826,864-869-8730,"BURGESS, MARY PH#: 843-389-2050",ADMINISTRATOR.DARLINGTON@ELITEHOMECARESC,,ADC-0510 / 06/30/2026,Darlington / Limited Liability,,,,,ELITE HOMECARE LLC,602326.687,3797745.231
13347,ORANGEBURG SENIOR HELPING CENTER A PACE HEALTHCARE PROGRAM,153 FOUNDERS CT,ORANGEBURG,SC,29118-2087,803-534-1212, PH#: ,ALLIE.KORNEGAY@ORANGEBURGSHCPACE.COM,,ADC-0511 / 03/31/2026,Orangeburg / ,,,,,ORANGEBURG SENIOR HELPING CENTER A PACE HEALTHCARE PROGRAM LLC,513092.985,3709629.395
13560,ACTIVE DAY OF MARION,300 SUPPLY RD,MARION,SC,29571,843-423-6488,"EASON, STACIE PH#: 843-423-6488",MARIONSC@ACTIVEDAY.COM,,ADC-0499 / 04/30/2026,Marion / Corporation,,,,,ACTIVE SC ONE INC,648506.496,3783426.852
13637,KERSHAW COUNTY ADULT DAY CARE CENTER,2204 N BROAD ST,CAMDEN,SC,29020-2443,803-425-9040, PH#: ,RACHUDSON@BELLSOUTH.NET,,ADC-0515 / 08/31/2026,Kershaw / Corporation,,,,,KERSHAW COUNTY ADULT DAY CARE CENTER INC,535956.843,3792253.828
13747,ELITE DAY CENTER OF ANDERSON,2839 S MAIN ST,ANDERSON,SC,29624,864-869-8730,"STANTON, NIKKI PH#: 864-869-8730",CARLA.WHITE@ELITEHOMECARESC.COM,,ADC-0520 / 02/28/2026,Anderson / Limited Liability,,,,,ELITE HOMECARE LLC,348555.347,3816196.235
13786,BOLDAGE PACE,2801 ASHLEY PHOSPHATE RD,NORTH CHARLESTON,SC,29418,854-768-0800,"RUNYON, BOBBI PH#: 712-355-4632",BRUNYON@BOLDAGEPACE.COM,BRUNYON@BOLDAGEHEALTH.COM,ADC-0495 / 02/28/2026,Charleston / Limited Liability Company (single member),,,,,BEACON OF LIFE SC LLC,588358.966,3644199.796
14142,AMELIA STREET ADULT DAYCARE,1591 AMELIA ST,ORANGEBURG,SC,29115-6076,803-737-7606,"LAWRENCE, LEONARD PH#: 803-378-0654",,,ADC-0435 / 09/30/2026,Orangeburg / Limited Liability,,,,,AMELIA STREET ADULT DAYCARE LLC,513060.526,3706158.218
14224,RISE & SHINE ADULT DAY CARE,302 PEARMAN DAIRY RD STE 9A,ANDERSON,SC,29625,864-642-9533,"HUNT, HARRIETT R. PH#: 864-318-0259",RISESHINEADC@GMAIL.COM,,ADC-0461 / 10/31/2026,Anderson / Limited Liability,,,,,RISE & SHINE ADULT DAY CARE LLC,345363.948,3819457.676
14228,ADULT ENRICHMENT CENTERS NORTH FORT MILL,601 SPRINGCREST DR,FORT MILL,SC,29715,803-396-5336,"THOMASSON, AMBER PH#: 803-327-1021",AMBERT@AECENTERS.ORG,,ADC-0521 / 10/31/2026,York / Corporation,,,,,ADULT ENRICHMENT CENTERS INC,503482.537,3875413.267
14229,TOWN SQUARE FORT MILL,368 FORT MILL PKWY STE 106,FORT MILL,SC,29715,803-591-9898,"PISCATELLI, MICHELLE PH#: 803-591-9898",MPISCATELLI@TOWNSQUARE.NET,,ADC-0519 / 10/31/2026,York / Corporation,,,,,INNOVATIVE ADULT DAY CENTERS OF THE CAROLINAS INC,503509.833,3872273.106
14339,ELITE DAY CENTER OF AIKEN,905 E PINE LOG RD,AIKEN,SC,29803,864-869-8730,"VUGRICH, SARAH PH#: 864-869-8730",ADMINISTRATOR.AIKEN@ELITEHOMECARESC.COM,,ADC-0525 / 01/31/2026,Aiken / Limited Liability,,,,,ELITE HOME CARE LLC,435343.231,3710696.907
14721,ADULT DAY ACTIVITIES SAMARITANS,509 S LEWIS ST,PICKENS,SC,29671-0000,864-351-3851,"BAUGHER, KATHERINE PH#: 864-842-2327",LGRAY@SAMARITANSCARE.COM,,ADC-0472 / 04/30/2026,Pickens / ,,,,,ADULT DAY ACTIVITIES SAMARITANS LLC,344348.156,3861002.513
14723,ACTIVE DAY OF LANCASTER,403 W MEETING ST,LANCASTER,SC,29720-2321,803-416-8000,"GOLDSMITH, PATRICK PH#: 803-246-1578",SCADMIN@ACTIVEDAY.COM,,ADC-0540 / 01/31/2026,Lancaster / Corporation,,,,,ACTIVE SC ONE INC,520550.607,3841913.298
14792,NY'S ADULT DAYCARE,21 GARDEN AVE,GEORGETOWN,SC,29440,843-461-4134,"BROWN, NYAIZHA PH#: 843-461-4134",GRAHAMCOLLINSADC@GMAIL.COM,,ADC-0458 / 06/30/2026,Georgetown / Limited Liability,,,,,NY'S ADULT DAYCARE LLC,659256.348,3697781.339
14849,ELITE DAY CENTER OF ROCK HILL,359 PARK AVE,ROCK HILL,SC,29730,864-869-8730,"GARCIA, DANEA PH#: 864-869-8730",ADMINISTRATOR.ROCKHILL@ELITEHOMECARESC,,ADC-0534 / 06/30/2026,York / Limited Liability,,,,,ELITE HOMECARE LLC,497383.523,3865750.593
14858,ELITE DAY CENTER OF CHARLESTON,7445 CROSS COUNTY RD,NORTH CHARLESTON,SC,29418,864-869-8730,"DIMARTINO, TAMMY PH#: 864-869-8730",ADMINISTRATOR.CHARLESTON@ELITEHOMECARESC,,ADC-0529 / 06/30/2026,Charleston / Limited Liability,,,,,ELITE HOMECARE LLC,586731.404,3643713.262
